Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h,GAP
2009,VAL,1,25,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,46:48:553,154.062,0
2009,VAL,2,20,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,46:51:183,153.918,+2.630
2009,VAL,3,16,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,46:51:466,153.903,+2.913
2009,VAL,4,13,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,47:21:068,152.299,+32.515
2009,VAL,5,11,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,47:23:138,152.188,+34.585
2009,VAL,6,10,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,47:23:441,152.172,+34.888
2009,VAL,7,9,11,Lucas NORRIS,USA,Phantom Team Group 6,Yamaha Team YAMAHA,47:26:259,152.021,+37.706
2009,VAL,8,8,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,47:26:917,151.986,+38.364
2009,VAL,9,7,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,47:31:044,151.766,+42.491
2009,VAL,10,6,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,47:32:242,151.702,+43.689
2009,VAL,11,5,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,47:34:571,151.578,+46.018
2009,VAL,12,4,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,47:38:779,151.355,+50.226
2009,VAL,13,3,44,Leo GASLY,SPA,Stratus Motorsport Group 7,Racing DUCATI,47:45:721,150.988,+57.168
2009,VAL,14,2,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,47:55:430,150.478,+66.877
2009,VAL,15,1,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,48:00:254,150.226,+71.701
2009,JPN,1,25,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,43:48:238,157.886,0
2009,JPN,2,20,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,43:49:542,157.808,+1.304
2009,JPN,3,16,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,43:52:001,157.661,+3.763
2009,JPN,4,13,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,43:53:929,157.545,+5.691
2009,JPN,5,11,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,43:57:445,157.335,+9.207
2009,JPN,6,10,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,44:18:793,156.071,+30.555
2009,JPN,7,9,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,44:20:994,155.942,+32.756
2009,JPN,8,8,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,44:27:654,155.553,+39.416
2009,JPN,9,7,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,44:31:344,155.338,+43.106
2009,JPN,10,6,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,44:31:483,155.33,+43.245
2009,JPN,11,5,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,44:33:072,155.237,+44.834
2009,JPN,12,4,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,44:34:778,155.138,+46.540
2009,JPN,13,3,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,44:41:763,154.734,+53.525
2009,JPN,14,2,88,Charles SMITH,ITA,Stratus Motorsport Group 7,Racing DUCATI,45:10:042,153.119,+81.804
2009,JPN,15,1,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,44:26:681,149.126,+38.443
2009,ITA,1,25,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,45:42:894,158.389,0
2009,ITA,2,20,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,45:43:895,158.331,+1.001
2009,ITA,3,16,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,45:44:970,158.269,+2.076
2009,ITA,4,13,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,45:45:023,158.266,+2.129
2009,ITA,5,11,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,45:46:168,158.2,+3.274
2009,ITA,6,10,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,46:07:345,156.989,+24.451
2009,ITA,7,9,52,Finn SAINZ,GBR,Velocity Team Group 3,YAMAHA,46:08:515,156.922,+25.621
2009,ITA,8,8,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,46:08:940,156.898,+26.046
2009,ITA,9,7,88,Charles SMITH,ITA,Stratus Motorsport Group 7,Racing DUCATI,46:14:709,156.572,+31.815
2009,ITA,10,6,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,46:17:708,156.403,+34.814
2009,ITA,11,5,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,46:17:984,156.387,+35.090
2009,ITA,12,4,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,46:22:016,156.16,+39.122
2009,ITA,13,3,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,46:35:356,155.415,+52.462
2009,ITA,14,2,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,46:35:372,155.414,+52.478
2009,ITA,15,1,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,46:04:967,150.292,+22.073
2009,USA,1,25,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,44:02:580,157.433,0
2009,USA,2,20,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,44:02:924,157.412,+0.344
2009,USA,3,16,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,44:04:506,157.318,+1.926
2009,USA,4,13,27,Lando ALBON,AUS,Zenith Racing Group 4,Team DUCATI,44:15:012,156.695,+12.432
2009,USA,5,11,69,Hans VETTEL,USA,Zenith Racing Group 4,Team DUCATI,44:24:243,156.152,+21.663
2009,USA,6,10,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,44:24:621,156.13,+22.041
2009,USA,7,9,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,44:32:781,155.653,+30.201
2009,USA,8,8,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,44:35:437,155.498,+32.857
2009,USA,9,7,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,44:42:905,155.065,+40.325
2009,USA,10,6,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,44:50:608,154.621,+48.028
2009,USA,11,5,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,44:51:390,154.576,+48.810
2009,USA,12,4,88,Charles SMITH,ITA,Stratus Motorsport Group 7,Racing DUCATI,45:21:111,152.887,+78.531
2009,QAT,1,25,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,42:54:984,165.539,0
2009,QAT,2,20,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,43:02:755,165.041,+7.771
2009,QAT,3,16,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,43:11:228,164.501,+16.244
2009,QAT,4,13,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,43:19:394,163.984,+24.410
2009,QAT,5,11,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,43:22:247,163.804,+27.263
2009,QAT,6,10,15,Arthur RUSSELL,RSM,Horizon GP Group 5,Carlo Honda Gresini HONDA,43:24:867,163.639,+29.883
2009,QAT,7,9,7,Max STROLL,AUS,Titan GP Group 9,Suzuki MotoGP SUZUKI,43:28:611,163.404,+33.627
2009,QAT,8,8,36,Diego RICCIARDO,FIN,Stratus Motorsport Group 7,Racing DUCATI,43:29:739,163.334,+34.755
2009,QAT,9,7,24,Marcio HAMILTON,SPA,Horizon GP Group 5,Carlo Honda Gresini HONDA,43:34:465,163.038,+39.481
2009,QAT,10,6,14,Matteo ALONSO,LCR,Vortex Racing Group 8,MotoGP HONDA,43:37:268,162.864,+42.284
2009,QAT,11,5,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,43:43:510,162.476,+48.526
2009,QAT,12,4,69,Hans VETTEL,USA,Zenith Racing Group 4,Marlboro Team DUCATI,43:43:867,162.454,+48.883
2009,QAT,13,3,59,Daniel MILLER,SPA,Aurora Racing Group 11,Francisco Hernando DUCATI,43:47:199,162.248,+52.215
2009,QAT,14,2,33,Lewis TSUNODA,ITA,Nexus Motorsports Group 10,Racing Team KAWASAKI,43:51:363,161.991,+56.379
2009,QAT,15,1,72,George SILVA,JPN,Nebula GP Group 12,Racing Team MotoGP HONDA,43:55:270,161.751,+60.286
2009,CAT,1,25,46,Alex WEBER,ITA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,43:12:897,164.138,0
2009,CAT,2,20,99,Carlos ROSSI,SPA,Quantum Motorsports Group 2,Yamaha Team YAMAHA,43:12:992,164.132,+0.095
2009,CAT,3,16,27,Lando ALBON,AUS,Zenith Racing Group 4,Marlboro Team DUCATI,43:21:781,163.577,+8.884
2009,CAT,4,13,4,Oliver LECLERC,ITA,Apex Racing Group 1,Honda Team HONDA,43:21:833,163.574,+8.936
2009,CAT,5,11,65,Jack OCON,ITA,Titan GP Group 9,Suzuki MotoGP SUZUKI,43:32:728,162.892,+19.831
2009,CAT,6,10,3,John DUPONT,SPA,Apex Racing Group 1,Honda Team HONDA,43:35:079,162.745,+22.182
2009,CAT,7,9,5,Pierre MARQUEZ,USA,Velocity Team Group 3,YAMAHA,43:36:444,162.66,+23.547
