Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h
2009,VAL,1,25,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,46:47:553,154.062
2009,VAL,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,46:50:183,153.918
2009,VAL,3,16,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,46:50:466,153.903
2009,VAL,4,13,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,YAMAHA,47:20:068,152.299
2009,VAL,5,11,69,Nicky HAYDEN,USA,Ducati,Marlboro Team DUCATI,47:22:138,152.188
2009,VAL,6,10,24,Toni ELIAS,SPA,San,Carlo Honda Gresini HONDA,47:22:441,152.172
2009,VAL,7,9,11,Ben SPIES,USA,Sterilgarda,Yamaha Team YAMAHA,47:25:259,152.021
2009,VAL,8,8,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,47:25:917,151.986
2009,VAL,9,7,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,47:30:044,151.766
2009,VAL,10,6,15,Alex DE ANGELIS,RSM,San,Carlo Honda Gresini HONDA,47:31:242,151.702
2009,VAL,11,5,14,Randy DE PUNIET FRA,LCR,Honda,MotoGP HONDA,47:33:571,151.578
2009,VAL,12,4,52,James TOSELAND,GBR,Monster Yamaha Tech 3,YAMAHA,47:37:779,151.355
2009,VAL,13,3,44,Aleix ESPARGARO,SPA,Pramac,Racing DUCATI,47:44:721,150.988
2009,VAL,14,2,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,47:54:430,150.478
2009,VAL,15,1,7,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,47:59:254,150.226
2009,JPN,1,25,99,Jorge LORENZO,SPA,Fiat,Yamaha Team YAMAHA,43:47:238,157.886
2009,JPN,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,43:48:542,157.808
2009,JPN,3,16,3,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:51:001,157.661
2009,JPN,4,13,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,43:52:929,157.545
2009,JPN,5,11,4,Andrea DOVIZIOSO,ITA,Repsol,Honda Team HONDA,43:56:445,157.335
2009,JPN,6,10,33,Marco MELANDRI,ITA,Hayate,Racing Team KAWASAKI,44:17:793,156.071
2009,JPN,7,9,65,Loris CAPIROSSI,ITA,Rizla,Suzuki MotoGP SUZUKI,44:19:994,155.942
2009,JPN,8,8,36,Mika KALLIO,FIN,Pramac,Racing DUCATI,44:26:654,155.553
