# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro de Rally Baja 2025
# RELATORIO: Geral - Motos
# DATA_EMISSAO: ACUMULADO ATÉ PE2: Pardinho/SP - (160.07km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;NO;COLUNA_4;PE1;COLUNA_7;PE2;COLUNA_11;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"NICOLAS RODRIGUEZ (RJ)
Honda CRF 450RX
Pro Tech Racing";(1)MT2;29;;"01:18:28.73
(1)";;"01:18:04.17
(1)";;02:36:32.90;02:36:32.90;"* * *
* * *"
2;"GUILHERME BISSOTTO (BA)
Yamaha YZ 450FX
Blu Cru";(1)MT1;22;;"01:20:19.71
(2)";;"01:18:53.76
(2)";;"02:39:13.47
00:02:40.57";02:39:13.47;"* * *
* * *"
3;"JOAO TORRES (GO)
Gas Gas EC 500F
Multracing";(2)MT1;10;;"01:23:59.55
(3)";;"01:20:49.04
(3)";;"02:44:48.59
00:08:15.69
00:05:35.12";02:44:48.59;"* * *
* * *"
4;"FRANCINE ROSSI (MG)
Gas Gas EC 500
Multracing";(1)MOV;1;;"01:24:26.91
(4)";;"01:23:05.60
(4)";;"02:47:32.51
00:10:59.61
00:02:43.92";02:47:32.51;"* * *
* * *"
5;"PAOLO SFORZA (BA)
Kawasaki KX 450 X
Sforza Racing";(1)MT3;28;;"01:26:50.28
(6)";;"01:26:18.67
(7)";;"02:53:08.95
00:16:36.05
00:05:36.44";02:53:08.95;"* * *
* * *"
6;"LUIZ HENRIQUE CUNHA (SP)
Honda CRF 450RX
Spot Racing";(2)MT3;14;;"01:27:02.19
(7)";;"01:26:49.61
(8)";;"02:53:51.80
00:17:18.90
00:00:42.85";02:53:51.80;"* * *
* * *"
7;"MARCIO DI PAOLO (SP)
GASGAS EC 500F
Multracing";(2)MT2;16;;"01:29:04.93
(8)";;"01:25:56.60
(6)";;"02:55:01.53
00:18:28.63
00:01:09.73";02:55:01.53;"* * *
* * *"
8;"ANDRES SUAREZ (SP)
Husqvarna FE501
Bianchini Rally Team";(3)MT2;11;;"01:26:26.92
(5)";;"01:28:50.47
(10)";;"02:55:17.39
00:18:44.49
00:00:15.86";02:55:17.39;"* * *
* * *"
9;"MAURICIO GHIRALDELLI (SP)
Gas Gas EC 500
Multracing";(2)MOV;32;;"01:31:03.40
(9)";;"01:28:32.34
(9)";;"02:59:35.74
00:23:02.84
00:04:18.35";02:59:35.74;"* * *
* * *"
10;"RICARDO NASCIMENTO (SP)
Gas Gas EC 450
Multracing";(3)MT3;13;;"01:32:34.68
(10)";;"01:32:03.78
(11)";;"03:04:38.46
00:28:05.56
00:05:02.72";03:04:38.46;"* * *
* * *"
11;"THIAGO OSTORERO (SP)
Gas Gas EC 500
Multracing";(4)MT2;5;;"01:32:41.16
(11)";;"01:32:13.34
(12)";;"03:04:54.50
00:28:21.60
00:00:16.04";03:04:54.50;"* * *
* * *"
12;"BRUNO ARRUDA (SP)
Gas Gas EC 500
Multracing";(3)MT1;2;;"01:44:02.56
(16)";"01:24:32.49
(5)";02:43:35.05;;;"00:25:00.00
* * *";"03:08:35.05
00:32:02.15
00:03:40.55"
13;"IZAC ANDRADE (SP)
Honda CRF 250F
Dust Rally Team";(1)MBR;27;;"01:34:49.36
(13)";"01:34:25.49
(13)";03:03:56.85;;;"00:05:18.00
* * *";"03:09:14.85
00:32:41.95
00:00:39.80"
14;"MILTON MEDINA (SP)
Honda CRF 250F
Dust Rally Team";(2)MBR;26;;"01:37:11.00
(14)";"01:34:27.25
(14)";03:11:38.25;;;"* * *
* * *";"03:11:38.25
00:35:05.35
00:02:23.40"
15;"MATHEUS LAZARETI (SP)
Honda CRF 250F
Dust Rally Team";(3)MBR;30;;"01:43:14.46
(15)";"01:35:11.29
(15)";03:18:25.75;;;"* * *
* * *";"03:18:25.75
00:41:52.85
00:06:47.50"
16;"RICARDO ZENATTO (RS)
KTM EXC 350
Multracing";(4)MT3;36;;"01:45:26.76
(17)";"01:50:30.86
(16)";03:05:57.62;;;"00:30:00.00
* * *";"03:35:57.62
00:59:24.72
00:17:31.87"
17;"JOSE LIMONTA (SP)
Honda CRF 250F
Lmt/Honda Motofield";(4)MBR;8;;"01:52:34.77
(18)";"01:52:30.21
(17)";03:45:04.98;;;"* * *
* * *";"03:45:04.98
01:08:32.08
00:09:07.36"
