# EVENTO: Resultados Extra-Oficiais
# CAMPEONATO: Campeonato Brasileiro de Rally Baja 2025 Geral Motos - Dia 2
# RELATORIO: ACUMULADO ATÉ PE4: Pardinho/SP - (316.13km)
# DATA_EMISSAO: 
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;NO;COLUNA_4;COLUNA_6;PE3;PE4;COLUNA_9;COLUNA_11;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"NICOLAS RODRIGUEZ (RJ)
Honda CRF 450RX
Pro Tech Racing";(1)MT2;29;;;"01:17:00.20
(1)";"01:27:21.24
(1)";;;02:44:21;02:44:21;"* * *
* * *"
2;"GUILHERME BISSOTTO (BA)
Yamaha YZ 450FX
Blu Cru";(1)MT1;22;;;"01:18:11.89
(2)";"01:28:30.12
(2)";;;"02:46:42
00:02:20";02:46:42;"* * *
* * *"
3;"JOAO TORRES (GO)
Gas Gas EC 500F
Multracing";(2)MT1;10;;;"01:20:47.21
(3)";"01:29:51.46
(3)";;;"02:50:38
00:06:17
00:03:56";02:50:32;"00:00:06
* * *"
4;"FRANCINE ROSSI (MG)
Gas Gas EC 500
Multracing";(1)MOV;1;;;"01:23:21.36
(4)";"01:34:23.73
(6)";;;"02:57:45
00:13:23
00:07:06";02:57:45;"* * *
* * *"
5;"LIMONTA FELIPE (SP)
Gas Gas EC 450
Multracing";(3)MT1;15;;;"01:24:41.03
(6)";"01:33:07.69
(4)";;;"02:57:48
00:13:27
00:00:03";02:57:48;"* * *
* * *"
6;"BRUNO ARRUDA (SP)
Gas Gas EC 500
Multracing";(4)MT1;2;;;"01:24:22.74
(5)";"01:34:22.24
(5)";;;"02:58:44
00:14:23
00:00:56";02:58:44;"* * *
* * *"
7;"MARCIO DI PAOLO (SP)
GASGAS EC 500F
Multracing";(2)MT2;16;;;"01:25:39.28
(8)";"01:35:40.95
(7)";;;"03:01:20
00:16:58
00:02:35";03:01:20;"* * *
* * *"
8;"LUIZ HENRIQUE CUNHA (SP)
Honda CRF 450RX
Spot Racing";(1)MT3;14;;;"01:25:20.00
(7)";"01:36:53.31
(10)";;;"03:02:13
00:17:51
00:00:53";03:02:13;"* * *
* * *"
9;"PAOLO SFORZA (BA)
Kawasaki KX 450 X
Sforza Racing";(2)MT3;28;;;"01:26:37.65
(9)";"01:36:13.31
(9)";;;"03:02:50
00:18:29
00:00:37";03:02:50;"* * *
* * *"
10;"MAURICIO GHIRALDELLI (SP)
Gas Gas EC 500
Multracing";(2)MOV;32;;;"01:27:10.72
(10)";"01:35:59.05
(8)";;;"03:03:09
00:18:48
00:00:18";03:03:09;"* * *
* * *"
11;"ANDRES SUAREZ (SP)
Husqvarna FE501
Bianchini Rally Team";(3)MT2;11;;;"01:27:57.60
(11)";"01:37:25.05
(11)";;;"03:05:22
00:21:01
00:02:12";03:05:22;"* * *
* * *"
12;"THIAGO OSTORERO (SP)
Gas Gas EC 500
Multracing";(4)MT2;5;;;"01:31:40.70
(13)";"01:41:18.91
(12)";;;"03:12:59
00:28:38
00:07:36";03:12:59;"* * *
* * *"
13;"RICARDO ZENATTO (RS)
KTM EXC 350
Multracing";(3)MT3;36;;;"01:31:21.42
(12)";"01:41:44.16
(14)";;;"03:13:05
00:28:44
00:00:05";03:13:05;"* * *
* * *"
14;"IZAC ANDRADE (SP)
Honda CRF 250F
Dust Rally Team";(1)MBR;27;;;"01:31:52.10
(14)";"01:41:30.96
(13)";;;"03:13:23
00:29:01
00:00:17";03:13:23;"* * *
* * *"
15;"MILTON MEDINA (SP)
Honda CRF 250F
Dust Rally Team";(2)MBR;26;;;"01:32:40.49
(15)";"01:42:28.11
(15)";;;"03:15:08
00:30:47
00:01:45";03:15:08;"* * *
* * *"
16;"MATHEUS LAZARETI (SP)
Honda CRF 250F
Dust Rally Team";(3)MBR;30;;"01:32:47.49
(16)";"01:44:20.32
(16)";03:17:07;"* * *
* * *";;;"03:17:07
00:32:46
00:01:59";
17;"RICARDO NASCIMENTO (SP)
Gas Gas EC 450
Multracing";(4)MT3;13;;"01:32:50.87
(17)";"01:50:54.88
(17)";03:14:45;"00:09:00
* * *";;;"03:23:45
00:39:24
00:06:37";
18;"JOAO CUNHA (SP)
-
Dust Rally Team";(1)MBT;31;;"01:59:12.42
(18)";"01:59:34.71
(18)";03:58:47;"* * *
* * *";;;"03:58:47
01:14:25
00:35:01";
19;"JOSE LIMONTA (SP)
Honda CRF 250F
Lmt/Honda Motofield";(4)MBR;8;;"02:00:00.00
(19)";"03:00:00.00
(19)";04:00:00;"01:00:00
* * *";;;"05:00:00
02:15:38
01:01:12";
20;"FELIPE LIMONTA (SP)
Honda Tornado 300
Lmt/Honda Motofield";(5)MBR;6;;"03:25:00.00
(20)";"03:25:00.00
(20)";04:00:00;"02:50:00
* * *";;;"06:50:00
04:05:38
01:50:00";
21;"RODRIGO ESPINHA (SP)
Kawasaki KLX 300
Lmt/Honda Motofield";(6)MBR;35;;"03:25:00.00
(20)";"03:25:00.00
(20)";04:00:00;"02:50:00
* * *";;;"06:50:00
04:05:38
00:00:00";
22;"WESLEY MACEDO (PI)
Gas Gas EC 500
Multracing";(5)MT1;37;;"03:25:00.00
(20)";"03:25:00.00
(20)";04:00:00;"02:50:00
* * *";;;"06:50:00
04:05:38
00:00:00";
