# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro Rally Baja 2025
# RELATORIO: Geral - UTV
# DATA_EMISSAO: ACUMULADO ATÉ PE2: Pardinho/SP - (160.07km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;NO;COLUNA_4;PE1;PE2;COLUNA_8;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"KAIQUE BENTIVOGLIO (SP)
Polaris RZR Pro R
Polaris One";(1)UT1;123;;"01:15:49.60
(1)";"01:16:06.92
(2)";;02:31:56.52;02:31:38.52;"00:00:18.00
* * *"
2;"ANDRE HORT (SC)
Can-Am Maverick X3
Mh Racing/ Cotton / F Tech";(1)UTU;135;;"01:16:41.36
(3)";"01:15:56.87
(1)";;"02:32:38.23
00:00:41.71";02:32:38.23;"* * *
* * *"
3;"VINICIUS CASTRO (BA)
ADELMO LINS (PE)
Can-Am Maverick R
C3 Racing";(2)UT1;103;;"01:16:56.58
(4)";"01:16:15.68
(4)";;"02:33:12.26
00:01:15.74
00:00:34.03";02:33:00.26;"00:00:12.00
* * *"
4;"ARIEL SCHALLENBERGER (RS)
Can-Am Maverick R
Tech Force Racing Team";(2)UTU;121;;"01:16:27.50
(2)";"01:16:58.40
(5)";;"02:33:25.90
00:01:29.38
00:00:13.64";02:34:12.90;"* * *
00:00:47.00"
5;"DAVISON MANTOVANI (SP)
Can-Am Maverick R
Hps High Performance Ssv";(3)UTU;158;;"01:18:03.91
(10)";"01:16:08.29
(3)";;"02:34:12.20
00:02:15.68
00:00:46.30";02:34:12.20;"* * *
* * *"
6;"CONRADO MATSUMOTO (MS)
Can-Am Maverick R
Cotton Racing";(4)UTU;106;;"01:18:01.51
(9)";"01:17:08.01
(6)";;"02:35:09.52
00:03:13.00
00:00:57.32";02:34:59.52;"00:00:10.00
* * *"
7;"CAIO ABUJAMRA (SP)
Polaris RZR Pro R
Gc Rally Team";(1)UT3;120;;"01:18:04.43
(11)";"01:18:06.53
(10)";;"02:36:10.96
00:04:14.44
00:01:01.44";02:36:10.96;"* * *
* * *"
8;"RICARDO GALLI (SP)
Can-Am Maverick R
Cotton Racing";(3)UT1;142;;"01:19:04.04
(12)";"01:17:44.93
(9)";;"02:36:48.97
00:04:52.45
00:00:38.01";02:36:39.97;"00:00:09.00
* * *"
9;"PARLEY FIAMONCINI (SC)
Can-Am Maverick R
299 Racing";(5)UTU;148;;"01:17:53.51
(8)";"01:19:05.32
(13)";;"02:36:58.83
00:05:02.31
00:00:09.86";02:37:30.83;"* * *
00:00:32.00"
10;"RODRIGO MATSUMOTO (MS)
Polaris RZR Pro R
Cotton Racing";(2)UT3;108;;"01:19:26.86
(13)";"01:18:41.98
(12)";;"02:38:08.84
00:06:12.32
00:01:10.01";02:41:54.84;"* * *
00:03:46.00"
11;"JAVIER CASANOVA (SP)
TULIO TANIGUCHI ()
Can-Am Maverick R
Rally Brasil Racing";(1)UTR;128;;"01:20:41.43
(16)";"01:18:18.56
(11)";;"02:38:59.99
00:07:03.47
00:00:51.15";02:38:59.99;"* * *
* * *"
12;"GUNTER HINKELMANN (SP)
Polaris RZR Pro R
Msl Motorsport";"01:20:33.27
(15)";137;(1)U50;"01:19:25.60
(14)";02:39:58.87;"* * *
* * *";;"02:39:58.87
00:08:02.35
00:00:58.88";
13;"IVAN FERREIRA (SP)
Can-Am Maverick X3
Saframil";"01:21:05.29
(17)";109;(1)UT2;"01:20:07.66
(15)";02:40:30.95;"00:00:42.00
* * *";;"02:41:12.95
00:09:16.43
00:01:14.08";
14;"JUNIOR SIQUEIRA (SP)
Polaris RZR Pro R
Cotton Racing / Polaris Racing Brasil";"01:17:15.08
(5)";112;(2)UT2;"01:24:34.22
(29)";02:41:49.30;"* * *
* * *";;"02:41:49.30
00:09:52.78
00:00:36.35";
15;"DANIEL RIBEIRO (SP)
Can-Am Maverick R
Caca Leguas";"01:21:23.07
(18)";136;(1)UOP;"01:21:12.33
(18)";02:42:35.40;"* * *
* * *";;"02:42:35.40
00:10:38.88
00:00:46.10";
16;"JOAO AFRO (MA)
Polaris RZR Pro R
Maranhao Rally / Msl Motorsports";"01:22:40.71
(23)";140;(3)UT2;"01:20:45.20
(16)";02:44:06.91;"* * *
00:00:41.00";;"02:43:25.91
00:11:29.39
00:00:50.51";
17;"MARCOS MIOTTO (SP)
Can-Am Maverick R
Dust Rally Team";"01:20:16.12
(14)";131;(6)UTU;"01:23:16.73
(26)";02:48:29.85;"* * *
00:04:57.00";;"02:43:32.85
00:11:36.33
00:00:06.94";
18;"MARCO ORTEGA (PR)
Polaris RZR Pro R
Cotton Rancing";"01:21:48.55
(19)";139;(3)UT3;"01:22:06.04
(21)";02:43:48.59;"00:00:06.00
* * *";;"02:43:54.59
00:11:58.07
00:00:21.74";
19;"PEDRO BIANOR (MG)
Can-Am Maverick R
Forfun Racing";"01:17:41.47
(7)";125;(4)UT1;"01:26:22.38
(33)";02:43:39.85;"00:00:24.00
* * *";;"02:44:03.85
00:12:07.33
00:00:09.26";
20;"JEFFERSON HOFFMAN (RS)
Polaris RZR Pro R
Cotton Racing / Polaris Racing Brasil";"01:22:49.83
(24)";141;(4)UT3;"01:22:15.75
(22)";02:45:05.58;"* * *
* * *";;"02:45:05.58
00:13:09.06
00:01:01.73";
21;"DANIEL TRECENTI (SP)
Can-Am Maverick X3
Hps High Performance Ssv";"01:22:27.54
(22)";119;(4)UT2;"01:22:45.44
(24)";02:45:12.98;"* * *
* * *";;"02:45:12.98
00:13:16.46
00:00:07.40";
22;"DIEGO DE OLIVEIRA (CE)
CLAUDIO RIESER DA SILVEIRA (SP
Polaris RZR Pro R
Gc Rally Team";"01:22:13.09
(21)";150;(1)UDB;"01:23:36.84
(27)";02:45:49.93;"* * *
* * *";;"02:45:49.93
00:13:53.41
00:00:36.95";
23;"JOAO PAULO MILAN (SP)
LOURIVAL ROLDAN (SP)
Can-Am Maverick X3
Cotton Racing";"01:24:18.78
(26)";127;(2)UDB;"01:22:31.18
(23)";02:46:49.96;"* * *
* * *";;"02:46:49.96
00:14:53.44
00:01:00.03";
24;"TOMAZ DOS SANTOS (SP)
JEFFERSON TEIXEIRA (PR)
-
Ts Racing Hps";"01:22:56.19
(25)";133;(1)U55;"01:24:36.92
(30)";02:47:33.11;"* * *
* * *";;"02:47:33.11
00:15:36.59
00:00:43.15";
25;"PEDRO SIQUEIRA (AL)
RODRIGO HORN (SP)
-
Caca Leguas";"01:28:21.73
(30)";153;(3)UDB;"01:21:54.71
(20)";02:50:16.44;"* * *
* * *";;"02:50:16.44
00:18:19.92
00:02:43.33";
26;"MARCO DE SORDI (SP)
CARLOS MARTINATI (SP)
Can-Am Maverick X3
Gc Rally Team";"01:29:42.33
(32)";116;(2)U55;"01:20:58.84
(17)";02:46:41.17;"00:04:00.00
* * *";;"02:50:41.17
00:18:44.65
00:00:24.73";
27;"DANIEL MASILI (SP)
Can-Am Maverick X3
Tecmin - Rato Racing";"01:26:36.81
(29)";122;(2)U50;"01:26:34.83
(34)";02:53:11.64;"* * *
* * *";;"02:53:11.64
00:21:15.12
00:02:30.47";
28;"LUIS FERNANDO RODRIGUES (GO)
MANUEL RUIVO (GO)
Can-Am Maverick X3
Territorio Motorsport / Agroluma";"01:24:55.33
(28)";134;(4)UDB;"01:28:57.73
(35)";02:53:53.06;"* * *
* * *";;"02:53:53.06
00:21:56.54
00:00:41.42";
29;"ALEXANDRE MARIANO (SP)
Can-Am Maverick R
Hps High Performance Ssv";"01:31:37.68
(34)";156;(2)UTR;"01:23:15.47
(25)";02:45:05.15;"00:09:48.00
* * *";;"02:54:53.15
00:22:56.63
00:01:00.09";
30;"HELENA DEYAMA (SP)
Can-Am Maverick R
Rally Brasil Racing";"01:29:41.43
(31)";155;(2)UOP;"01:26:13.12
(32)";02:55:54.55;"* * *
* * *";;"02:55:54.55
00:23:58.03
00:01:01.40";
31;"JULIANO MEIRA (SP)
Polaris RZR Pro R
One Rally Team";"01:40:45.44
(38)";151;(5)UT1;"01:17:18.48
(7)";02:58:03.92;"* * *
* * *";;"02:58:03.92
00:26:07.40
00:02:09.37";
32;"EDSON XUXA (SP)
-
Dust Rally Team";"01:33:17.30
(35)";154;(3)U50;"01:26:02.47
(31)";02:50:19.77;"00:09:00.00
* * *";;"02:59:19.77
00:27:23.25
00:01:15.85";
33;"FABIO TREGANCINI (SP)
Polaris RZR Pro R
Cotton Racing";"01:42:51.81
(39)";117;(5)UT3;"01:17:28.58
(8)";02:30:10.39;"00:30:10.00
* * *";;"03:00:20.39
00:28:23.87
00:01:00.62";
34;"RAQUEL STEIN (SP)
Polaris RZR Pro R
Msl Motorsport";"01:31:17.49
(33)";147;(6)UT3;"01:30:49.02
(37)";03:02:06.51;"* * *
* * *";;"03:02:06.51
00:30:09.99
00:01:46.12";
35;"LEANDRO KREY (RS)
Can-Am Maverick R
Rodatech Racing";"01:35:05.00
(36)";157;(6)UT1;"01:31:04.14
(38)";03:06:09.14;"* * *
* * *";;"03:06:09.14
00:34:12.62
00:04:02.63";
36;"GUILHERME GALLI (SP)
Can-Am Maverick X3
Cotton Racing";"01:38:20.90
(37)";159;(5)UT2;"01:29:05.56
(36)";03:07:26.46;"* * *
* * *";;"03:07:26.46
00:35:29.94
00:01:17.32";
37;"LEONARDO ISHIZUKA (SP)
Can-Am Maverick X3
Dust Rally Team";"01:24:29.14
(27)";144;(4)U50;"01:47:36.00
(39)";03:12:05.14;"* * *
* * *";;"03:12:05.14
00:40:08.62
00:04:38.68";
38;"PABLO DIAS (SP)
Can-Am Maverick X3
Forfun Racing";(7)UT3;149;;"01:55:20.91
(40)";"01:23:44.74
(28)";02:48:05.65;;"00:31:00.00
* * *";"03:19:05.65
00:47:09.13
00:07:00.51"
39;"RICARDO SANTOS (PRT)
ROBSON SCHUINKA (PR)
Can-Am Maverick X3
Hps High Performance Ssv";(5)UDB;143;;"01:21:59.18
(20)";"02:00:30.00
(40)";03:21:59.18;;"00:00:30.00
* * *";"03:22:29.18
00:50:32.66
00:03:23.53"
40;"THIAGO TORRES (SP)
Can-Am Maverick R
T+A Rally Team";(7)UTU;138;;"02:45:00.00
(43)";"01:21:34.08
(19)";03:21:34.08;;"00:45:00.00
* * *";"04:06:34.08
01:34:37.56
00:44:04.90"
41;"GUILHERME CYSNE (SP)
Polaris RZR Pro R
Gc Rally Team / Peak Automotiva";(8)UTU;101;;"01:17:33.30
(6)";"03:25:00.00
(41)";03:17:33.30;;"01:25:00.00
* * *";"04:42:33.30
02:10:36.78
00:35:59.22"
42;"NUNO FOJO (SP)
Polaris RZR Pro R
Polaris Factory Racing Brasil / Cotton";(7)UT1;111;;"02:00:15.00
(41)";"03:25:00.00
(41)";04:00:00.00;;"01:25:15.00
* * *";"05:25:15.00
02:53:18.48
00:42:41.70"
43;"MARCUS COTTON (SP)
Polaris RZR Pro R
Cotton Racing / Polaris Factory Racing Brasil";(8)UT1;105;;"02:15:00.00
(42)";"03:25:00.00
(41)";04:00:00.00;;"01:40:00.00
* * *";"05:40:00.00
03:08:03.48
00:14:45.00"
44;"VANDERLEI RABI (SP)
Polaris RZR Pro R
Cotton Racing";(6)UT2;118;;"02:45:00.00
(43)";"03:25:00.00
(41)";04:00:00.00;;"02:10:00.00
* * *";"06:10:00.00
03:38:03.48
00:30:00.00"
45;"ANDRE SIQUEIRA (SP)
LEONARDO DELLA MANA (SP)
-
Caca Leguas";(1)UST;152;;"03:00:00.00
(45)";"03:25:00.00
(41)";04:00:00.00;;"02:25:00.00
* * *";"06:25:00.00
03:53:03.48
00:15:00.00"
