# EVENTO: Resultados Extra-Oficiais
# CAMPEONATO: Campeonato Brasileiro Rally Baja 2025 Geral UTV - Dia 2
# RELATORIO: ACUMULADO ATÉ PE4: Bom Jesus da Lapa/BA - (316.13km)
# DATA_EMISSAO: 
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;NO;COLUNA_4;COLUNA_6;PE3;PE4;COLUNA_9;COLUNA_11;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"VINICIUS CASTRO (BA)
ADELMO LINS (PE)
Can-Am Maverick R
C3 Racing";(1)UT1;103;;;"01:15:02.73
(1)";"01:14:57.65
(1)";;;02:30:00;02:30:00;"* * *
* * *"
2;"ANDRE HORT (SC)
Can-Am Maverick X3
Mh Racing/ Cotton / F Tech";(1)UTU;135;;;"01:15:22.12
(3)";"01:15:27.35
(2)";;;"02:30:49
00:00:49";02:30:49;"* * *
* * *"
3;"ARIEL SCHALLENBERGER (RS)
Can-Am Maverick R
Tech Force Racing Team";(2)UTU;121;;;"01:16:10.34
(4)";"01:16:36.18
(4)";;;"02:32:46
00:02:46
00:01:57";02:32:46;"* * *
* * *"
4;"JAVIER CASANOVA (SP)
TULIO TANIGUCHI ()
Can-Am Maverick R
Rally Brasil Racing";(1)UTR;128;;;"01:17:03.48
(7)";"01:16:53.03
(5)";;;"02:33:56
00:03:56
00:01:09";02:33:56;"* * *
* * *"
5;"MARCUS COTTON (SP)
Polaris RZR Pro R
Cotton Racing / Polaris Factory Racing Brasil";(2)UT1;105;;;"01:17:23.26
(9)";"01:16:34.65
(3)";;;"02:33:57
00:03:57
00:00:01";02:33:57;"* * *
* * *"
6;"RODRIGO MATSUMOTO (MS)
Polaris RZR Pro R
Cotton Racing";(1)UT3;108;;;"01:17:00.55
(6)";"01:17:02.44
(8)";;;"02:34:02
00:04:02
00:00:05";02:34:02;"* * *
* * *"
7;"CONRADO MATSUMOTO (MS)
Can-Am Maverick R
Cotton Racing";(3)UTU;106;;;"01:17:34.16
(10)";"01:17:02.41
(7)";;;"02:34:36
00:04:36
00:00:33";02:34:36;"* * *
* * *"
8;"THIAGO TORRES (SP)
Can-Am Maverick R
T+A Rally Team";(4)UTU;138;;;"01:17:57.81
(12)";"01:17:00.62
(6)";;;"02:34:58
00:04:58
00:00:21";02:34:28;"00:00:30
* * *"
9;"CAIO ABUJAMRA (SP)
Polaris RZR Pro R
Gc Rally Team";(2)UT3;120;;;"01:17:49.51
(11)";"01:17:10.68
(9)";;;"02:35:00
00:04:59
00:00:01";02:35:00;"* * *
* * *"
10;"DAVISON MANTOVANI (SP)
Can-Am Maverick R
Hps High Performance Ssv";(5)UTU;158;;;"01:16:17.63
(5)";"01:19:24.37
(13)";;;"02:35:42
00:05:41
00:00:41";02:35:42;"* * *
* * *"
11;"RICARDO GALLI (SP)
Can-Am Maverick R
Cotton Racing";(3)UT1;142;;;"01:17:59.63
(13)";"01:17:58.72
(10)";;;"02:35:58
00:05:57
00:00:16";02:35:58;"* * *
* * *"
12;"MARCO DE SORDI (SP)
CARLOS MARTINATI (SP)
Can-Am Maverick X3
Gc Rally Team";(1)U55;116;;;"01:19:40.82
(15)";"01:18:28.02
(11)";;;"02:38:08
00:08:08
00:02:10";02:38:08;"* * *
* * *"
13;"JULIANO MEIRA (SP)
Polaris RZR Pro R
One Rally Team";(4)UT1;151;;;"01:17:59.64
(14)";"01:21:43.34
(19)";;;"02:39:42
00:09:42
00:01:34";02:35:42;"00:04:00
* * *"
14;"JOAO AFRO (MA)
Polaris RZR Pro R
Maranhao Rally / Msl Motorsports";(1)UT2;140;;;"01:19:42.92
(16)";"01:20:01.60
(16)";;;"02:39:44
00:09:44
00:00:01";02:41:23;"* * *
00:01:39"
15;"VANDERLEI RABI (SP)
Polaris RZR Pro R
Cotton Racing";(2)UT2;118;;;"01:21:50.24
(23)";"01:19:38.37
(15)";;;"02:41:28
00:11:28
00:01:44";02:38:34;"00:02:54
* * *"
16;"DANIEL RIBEIRO (SP)
Can-Am Maverick R
Caca Leguas";"01:19:50.48
(17)";136;(1)UOP;"01:21:50.28
(20)";02:41:40;"* * *
* * *";"02:41:40
00:11:40
00:00:12";;;;
17;"MARCO ORTEGA (PR)
Polaris RZR Pro R
Cotton Rancing";"01:20:29.15
(19)";139;(3)UT3;"01:22:00.98
(21)";02:42:30;"* * *
* * *";"02:42:30
00:12:29
00:00:49";;;;
18;"TOMAZ DOS SANTOS (SP)
JEFFERSON TEIXEIRA (PR)
-
Ts Racing Hps";"01:21:47.41
(22)";133;(2)U55;"01:21:06.31
(18)";02:42:53;"* * *
* * *";"02:42:53
00:12:53
00:00:23";;;;
19;"RICARDO SANTOS (PRT)
ROBSON SCHUINKA (PR)
Can-Am Maverick X3
Hps High Performance Ssv";"01:22:13.45
(28)";143;(1)UDB;"01:20:53.99
(17)";02:43:07;"* * *
* * *";"02:43:07
00:13:07
00:00:13";;;;
20;"PARLEY FIAMONCINI (SC)
Can-Am Maverick R
299 Racing";"01:24:18.56
(33)";148;(6)UTU;"01:19:29.53
(14)";02:43:48;"* * *
* * *";"02:43:48
00:13:47
00:00:40";;;;
21;"JEFFERSON HOFFMAN (RS)
Polaris RZR Pro R
Cotton Racing / Polaris Racing Brasil";"01:21:55.22
(25)";141;(4)UT3;"01:22:03.73
(22)";02:43:58;"* * *
* * *";"02:43:58
00:13:58
00:00:10";;;;
22;"JOAO PAULO MILAN (SP)
LOURIVAL ROLDAN (SP)
Can-Am Maverick X3
Cotton Racing";"01:21:50.93
(24)";127;(2)UDB;"01:22:13.98
(24)";02:44:04;"* * *
* * *";"02:44:04
00:14:04
00:00:05";;;;
23;"DIEGO DE OLIVEIRA (CE)
CLAUDIO RIESER DA SILVEIRA (SP
Polaris RZR Pro R
Gc Rally Team";"01:22:05.93
(26)";150;(3)UDB;"01:22:05.64
(23)";02:44:11;"* * *
* * *";"02:44:11
00:14:11
00:00:06";;;;
24;"LUIS FERNANDO RODRIGUES (GO)
MANUEL RUIVO (GO)
Can-Am Maverick X3
Territorio Motorsport / Agroluma";"01:24:06.63
(32)";134;(4)UDB;"01:23:14.52
(25)";02:47:21;"* * *
* * *";"02:47:21
00:17:20
00:03:09";;;;
25;"HELENA DEYAMA (SP)
Can-Am Maverick R
Rally Brasil Racing";"01:23:45.30
(30)";155;(2)UOP;"01:24:34.88
(26)";02:48:20;"* * *
* * *";"02:48:20
00:18:19
00:00:59";;;;
26;"IVAN FERREIRA (SP)
Can-Am Maverick X3
Saframil";"01:20:38.27
(20)";109;(3)UT2;"01:28:46.59
(31)";02:49:24;"* * *
* * *";"02:49:24
00:19:24
00:01:04";;;;
27;"EDSON XUXA (SP)
-
Dust Rally Team";"01:24:35.78
(34)";154;(1)U50;"01:25:50.14
(27)";02:50:25;"* * *
* * *";"02:50:25
00:20:25
00:01:01";;;;
28;"DANIEL MASILI (SP)
Can-Am Maverick X3
Tecmin - Rato Racing";"01:25:24.42
(36)";122;(2)U50;"01:26:09.69
(28)";02:51:34;"* * *
* * *";"02:51:34
00:21:33
00:01:08";;;;
