# EVENTO: VII RALLY POEIRA
# CAMPEONATO: Acumulado até Dia 2: Igaracu do Tiete/SP (170,38 km)
# RELATORIO: Resultados Oficiais - 10/11/2025 - 20:18
# DATA_EMISSAO: Acumulado - Geral UTV
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

NUM;PILOTO_INFO;CAT;DIA 1 (POS) 64.36 KM;DIA 2 (POS) 106.02 KM;POS GERAL;COLUNA_4;COLUNA_5;COLUNA_6;COLUNA_7;COLUNA_12;TEMPO TOTAL DIF.LÍDER DIF. ANTERIOR;COLUNA_14;PENAL
123;"KAIQUE BENTIVOGLIO (SP)
Polaris RZR PRO R
Polaris One";UT1 (1°);"00:40:58.96
(4°)";"01:22:14.72
(1°)";1⁰;;;;;;02:03:13.68;;
106;"CONRADO MATSUMOTO (MS)
Can-Am Maverick R
Cotton Racing";UTU (2°);"00:40:49.05
(3°)";"01:23:00.63
(5°)";3⁰;;;;;;"02:03:49.68
+00:36.00
+00:11.48";;"02:03:49.68
* * *
* * *"
117;"FABIO TREGANCINI (SP)
Polaris RZR PRO R
Cotton Racing";UT3 (1°);"00:41:50.12
(7°)";"01:23:55.02
(6°)";5⁰;;;;;;"02:05:45.14
+02:31.46
+01:42.64";;"02:05:45.14
* * *
* * *"
108;"RODRIGO MATSUMOTO (MS)
Polaris RZR PRO R
Cotton Racing";UT3 (2°);"00:42:57.54
(12°)";"01:23:59.11
(7°)";7⁰;;;;;;"02:06:56.65
+03:42.97
+00:03.95";;"02:06:56.65
* * *
* * *"
118;"VANDERLEI RABI (SP)
Polaris RZR PRO R
Cotton Racing";;UT2 (1°);"00:42:22.14
(9°)";9⁰;;;;;"02:09:43.71
* * *
00:00:33";;"02:09:10.71
+05:57.03
+01:59.51";"01:27:21.57
(14°)"
119;"DANIEL TRECENTI (SP)
Can-Am Maverick R
Hps Racing";;UTU (5°);"00:44:18.30
(14°)";11⁰;;;;;"02:12:05.02
* * *
* * *";;"02:12:05.02
+08:51.34
+02:32.08";"01:27:46.72
(15°)"
145;"JEFFERSON HOFFMAN (RS)
Polaris RZR PRO R
Cotton Racing / Polaris Racing Brasil";;UT3 (3°);"00:45:50.99
(20°)";13⁰;;;;;"02:14:22.37
* * *
* * *";;"02:14:22.37
+11:08.69
+00:44.74";"01:28:31.38
(17°)"
116;"MARCO SORDI (SP)
CARLOS MARTINATI (SP)
Polaris RZR PRO R
Gc Rally Team";;U55 (1°);"00:45:15.45
(16°)";15⁰;;;;;"02:15:14.42
* * *
* * *";;"02:15:14.42
+12:00.74
+00:37.10";"01:29:58.97
(18°)"
127;"JOAO MILAN (SP)
LOURIVAL ROLDAN (SP)
Can-Am Maverick X3
Cotton Racing";;UDB (2°);"00:45:40.78
(19°)";17⁰;;;;;"02:17:04.21
00:01:00
* * *";;"02:18:04.21
+14:50.53
+00:47.44";"01:31:23.43
(20°)"
155;"HELENA DEYAMA (SP)
Can-Am Maverick R
Rally Brasil Racing";"00:47:15.05
(22°)";"01:33:20.71
(23°)";"02:20:35.76
* * *
* * *";19⁰;;;;UOP (1°);"02:20:35.76
+17:22.08
+02:00.51";;;
112;"JUNIOR SIQUEIRA (SP)
Polaris RZR PRO R
Cotton Racing / Polaris Racing Brasil";"00:41:13.06
(5°)";"01:51:40.49
(28°)";"02:32:53.55
* * *
* * *";21⁰;;;;UT2 (2°);"02:32:53.55
+29:39.87
+01:16.59";;;
151;"CLAUDIO SALOMAO (SP)
ALFREDO MOOR (PR)
Can-Am Maverick R
Varela Rally";"00:49:45.72
(25°)";"01:30:50.80
(19°)";"02:20:36.52
01:00:00
* * *";23⁰;;;;UTU (7°);"03:20:36.52
+01:17:22.84
+41:30.13";;;
133;"TOMAZ SANTOS (SP)
JEFFINHO TEIXEIRA (SC)
Can-Am Maverick X3
Hps Racing";"01:40:00.00
(28°)";"01:31:35.60
(21°)";"03:11:35.60
00:30:00
* * *";25⁰;;;;U55 (2°);"03:41:35.60
+01:38:21.92
+05:29.67";;;
146;"MARCELO WEYNE (SP)
Can-Am Maverick R
Caca Leguas";"00:45:15.85
(17°)";"02:30:00.00
(29°)";"03:15:15.85
01:00:00
* * *";27⁰;;;;UOP (2°);"04:15:15.85
+02:12:02.17
+28:04.83";;;
111;"JEAN AZEVEDO (SP)
Can-Am Maverick R
T+A Rally Team";"01:25:12.16
(10°)";"03:05:12.16
02:00:00
* * *";;29⁰;;;UTU (9°);"01:40:00.00
(30°)";;"05:05:12.16
+03:01:58.48
+36:41.93";;
144;"LEONARDO ISHIZUKA (SP)
Can-Am Maverick X3
Dust Rally Team";"01:39:15.17
(25°)";"03:19:15.17
03:30:00
* * *";;31⁰;;;U50 (1°);"01:40:00.00
(31°)";;"06:49:15.17
+04:46:01.49
+08:52.07";;
