# EVENTO: IV RALLY TERRA VERDE
# CAMPEONATO: Acumulado até PE4: Sao Carlos/SP (257,88 km)
# RELATORIO: Resultados Oficiais - 07/12/2025 - 15:23
# DATA_EMISSAO: Acumulado - Geral UTV
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

NUM;PILOTO_INFO;CAT;POS GERAL;COLUNA_4;COLUNA_5;COLUNA_6;COLUNA_7;COLUNA_8;PE1 (POS) 64.47 KM;PE2 (POS) 64.47 KM;PE3 (POS) 64.47 KM;PE4 (POS) 64.47 KM;COLUNA_15;TEMPO TOTAL DIF.LÍDER DIF. ANTERIOR;COLUNA_17;PENAL
128;"BRUNO VARELA (SP)
Can-Am Maverick R
Varela Can-Am M. Energy";UTU (1°);1⁰;;;;;;"00:57:59.04
(1°)";"00:57:54.75
(2°)";"00:57:29.37
(3°)";"00:57:42.82
(1°)";;;;
123;"KAIQUE BENTIVOGLIO (SP)
Polaris RZR Pro R
Polaris One";UT1 (1°);3⁰;;;;;;"00:58:36.49
(4°)";"00:58:14.47
(4°)";"00:57:10.82
(1°)";"00:59:10.90
(6°)";;"03:53:21.68
+02:15.70
+00:48.24";;"03:53:12.68
00:00:09
* * *"
138;"THIAGO TORRES (SP)
EDUARDO SHIGA (SP)
Can-Am Maverick R
T+A Rally Team";UTR (1°);5⁰;;;;;;"00:59:52.08
(7°)";"00:59:37.96
(8°)";"00:58:48.75
(8°)";"00:58:32.68
(4°)";;"03:56:51.47
+05:45.49
+00:36.77";;"03:56:51.47
* * *
* * *"
126;"REINALDO VARELA (SP)
TULIO TANIGUCHI (SP)
Can-Am Maverick R
Varela Can-Am M. Energy";UTR (3°);7⁰;;;;;;"01:00:43.42
(15°)";"00:59:56.13
(12°)";"00:59:33.40
(13°)";"00:59:22.56
(10°)";;"03:59:35.51
+08:29.53
+00:17.55";;"03:59:35.51
* * *
* * *"
148;"PARLEY FIAMONCINI (SC)
Can-Am Maverick R
299 Racing";UTU (4°);9⁰;;;;;;"01:00:39.85
(14°)";"01:00:29.08
(18°)";"01:00:06.90
(17°)";"00:59:51.86
(13°)";;"04:02:07.69
+11:01.71
+02:17.89";;"04:01:07.69
00:01:00
* * *"
136;"GABRIEL CESTARI (MG)
Can-Am Maverick R
Cotton Racing / Ghia Motorsports";"01:05:54.61
(30°)";11⁰;;;;;UTR (4°);"01:00:08.23
(15°)";"00:59:41.70
(15°)";"00:59:17.83
(8°)";"04:05:02.37
* * *
* * *";"04:05:02.37
+13:56.39
+02:32.71";;;
143;"RICARDO SANTOS (SP)
ROBSON SCHUINKA (PR)
Can-Am Maverick X3
Omni Trade / Hps Racing";"01:02:32.73
(22°)";13⁰;;;;;"UDB (2°)
HPS (2°)";"01:02:07.50
(23°)";"01:01:03.47
(22°)";"01:00:45.02
(14°)";"04:06:28.72
00:00:18
* * *";"04:06:46.72
+15:40.74
+00:59.27";;;
116;"MARCO SORDI (SP)
CARLOS MARTINATI (SP)
Polaris RZR Pro R
Gc Rally Team";"01:03:06.39
(25°)";15⁰;;;;;U55 (1°);"01:01:44.66
(21°)";"01:01:01.58
(21°)";"01:02:07.80
(21°)";"04:08:00.43
* * *
* * *";"04:08:00.43
+16:54.45
+00:55.02";;;
154;"ALEXANDRE MARIANO (AC)
Can-Am Maverick R
Hps Racing";"01:02:20.22
(19°)";17⁰;;;;;"UOP (1°)
HPS (3°)";"01:02:35.09
(24°)";"01:02:23.94
(24°)";"01:01:27.84
(17°)";"04:08:47.09
* * *
* * *";"04:08:47.09
+17:41.11
+00:17.47";;;
132;"MARCO ORTEGA (GO)
Polaris RZR Pro R
Cotton Racing";"01:02:48.11
(24°)";19⁰;;;;;UT3 (4°);"01:02:59.77
(29°)";"01:01:57.51
(23°)";"01:02:01.41
(19°)";"04:09:46.80
* * *
* * *";"04:09:46.80
+18:40.82
+00:25.63";;;
151;"ALLAN CESTARI (GO)
WEIDNER MOREIRA ()
Polaris RZR Pro R
Cotton Racing / Ghia Motorsports";"01:05:16.37
(28°)";21⁰;;;;;U55 (2°);"01:03:51.44
(30°)";"01:02:52.96
(27°)";"01:02:38.18
(23°)";"04:14:38.95
* * *
* * *";"04:14:38.95
+23:32.97
+00:46.65";;;
153;"ALBERTO CASTRO (BA)
FRANCISCO ERINALDO ()
Polaris RZR Pro R
C3 Racing";"01:05:25.43
(29°)";23⁰;;;;;UTR (5°);"01:03:52.12
(31°)";"01:06:49.95
(31°)";"01:03:27.49
(25°)";"04:19:34.99
00:00:06
* * *";"04:19:40.99
+28:35.01
+01:33.37";;;
