# INFO_GERAL: XXVII RALLY RN 1500 11/04/2025 - 19:59:27 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 4: Currais Novos/RN - Sao Miguel do Gostoso/RN (834.82km) Geral Motos

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_10;COLUNA_12;COLUNA_14;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"MARTIN DUPLESSIS (ARG)
Honda CRF 450RX
Honda Racing";(1)MT1;"03:33:00.30
(4)";"03:44:18.01
(2)";"02:40:36.63
(3)";"02:42:24.28
(2)";3;;;;;12:40:19.22;14:20:34.22;"00:01:54.00
01:42:09.00"
2;"BRUNO CRIVILIN
Honda CRF 450RX
Honda Racing";(1)MT2;"03:34:56.63
(6)";"03:44:41.00
(3)";"02:40:06.77
(1)";"02:40:47.68
(1)";11;;;;;"12:40:32.08
00:00:12.86";14:17:24.08;"00:05:12.00
01:42:04.00"
3;"ROMAIN DUMONTIER
Honda CRF 450RX
Honda Racing";(2)MT1;"03:31:05.20
(3)";"03:45:21.91
(4)";"02:42:06.51
(4)";"02:49:03.88
(6)";23;;;;;"12:47:37.50
00:07:18.28
00:07:05.42";14:28:21.50;"* * *
01:40:44.00"
4;"TIAGO WERNERSBACH
Honda CRF 450RX
Honda Racing";(1)MT3;"03:37:26.12
(8)";"03:48:46.52
(6)";"02:42:07.93
(5)";"02:47:33.42
(5)";7;;;;;"12:55:53.99
00:15:34.77
00:08:16.49";14:32:43.99;"00:05:00.00
01:41:50.00"
5;"GABRIEL BRUNING (SC)
Yamaha WR 450F
Yamaha Ims Rally Team";(2)MT2;"03:30:13.77
(2)";"03:48:12.36
(5)";"02:53:29.61
(7)";"02:44:10.26
(4)";5;;;;;"12:56:06.00
00:15:46.78
00:00:12.01";14:25:57.00;"00:11:21.00
01:41:12.00"
6;"GABRIEL SOARES (MG)
Yamaha WR 450F
Yamaha Ims Rally Team";(3)MT1;"03:34:55.18
(5)";"03:58:59.84
(8)";"02:40:13.29
(2)";"02:43:21.43
(3)";4;;;;;"12:57:29.74
00:17:10.52
00:01:23.74";14:39:26.74;"* * *
01:41:57.00"
7;"RICARDO MARTINS (SC)
Yamaha Tenere 700
Yamaha Ims Rally Team";(1)MOV;"03:36:53.37
(7)";"03:54:26.86
(7)";"02:50:58.09
(6)";"02:50:19.24
(7)";6;;;;;"13:12:37.56
00:32:18.34
00:15:07.82";14:50:39.56;"00:00:42.00
01:38:44.00"
8;"MOARA SACILOTTI (SP)
Kawasaki KX 450X
Podium Racing";(2)MOV;"03:57:24.32
(10)";"04:28:02.48
(12)";"03:27:16.74
(9)";"03:22:11.12
(11)";25;;;;;"15:14:54.66
02:34:35.44
02:02:17.10";16:42:50.66;"* * *
01:27:56.00"
9;"FLAVIANO TIEPO (SC)
Yamaha WR 450F
Ims Rally Team";(2)MT3;"04:43:20.22
(12)";"04:10:38.51
(10)";"03:27:40.46
(10)";"03:14:26.22
(10)";21;;;;;"15:36:05.41
02:55:46.19
00:21:10.75";16:18:55.41;"00:49:12.00
01:32:02.00"
10;"ADRIEN METGE (FRA)
Yamaha WR 450F
Yamaha Ims Rally Team";(4)MT1;"03:28:40.89
(1)";"03:43:54.72
(1)";"07:10:00.00
(11)";"02:57:10.73
(8)";1;;;;;"17:19:46.34
04:39:27.12
01:43:40.93";15:47:25.34;"03:15:00.00
01:42:39.00"
11;"JOAO MAURICIO TORRES
Gas Gas EC500F
Mult Racing";(3)MT2;"04:07:50.51
(11)";"04:05:53.26
(9)";"07:10:00.00
(11)";"03:03:13.80
(9)";27;;17:02:04.57;"18:26:57.57
05:46:38.35
01:07:11.23";;;"03:00:00.00
01:35:07.00";
12;"JOAO ALFREDO ALVES
Kawasaki KLX 300R
Grilo Racing";(1)MBR;"03:54:32.61
(9)";"04:18:22.78
(11)";"03:10:50.10
(8)";"08:30:00.00
(12)";19;;16:44:18.49;"19:53:45.49
07:13:26.27
01:26:47.92";;;"03:09:27.00
* * *";
