# INFO_GERAL: XXVII RALLY RN 1500 11/04/2025 - 20:01:41 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 4: Currais Novos/RN - Sao Miguel do Gostoso/RN (834.82km) Geral UTV

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_9;COLUNA_12;COLUNA_14;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"BRUNO VARELA
ARI FIUZA
Can-Am Maverick R
Varela Can-Am Monster Energy Rally Team";(1)UTU;"03:22:50.76
(1)";"03:38:35.37
(1)";"02:39:09.14
(3)";"02:39:13.27
(4)";103;;;;;12:19:48.54;13:55:36.54;"* * *
01:35:48.00"
2;"DENISIO DO NASCIMENTO
GUNNAR DUMS
Can-Am Maverick R
Bompack Racing";(2)UTU;"03:24:56.96
(2)";"03:40:47.30
(3)";"02:36:06.70
(1)";"02:46:01.84
(18)";101;;;;;"12:27:52.80
00:08:04.26";14:05:19.80;"* * *
01:37:27.00"
3;"RODRIGO VARELA
MATHEUS MAZZEI
Can-Am Maverick R
Varela Can-Am Monster Energy Rally Team";(3)UTU;"03:29:32.95
(12)";"03:39:48.14
(2)";"02:56:52.69
(38)";"02:35:10.84
(1)";102;;;;;"12:41:24.62
00:21:36.08
00:13:31.82";14:11:17.62;"* * *
01:29:53.00"
4;"THIAGO FRAGA
LUIS FELIPE ECKEL
Can-Am Maverick R
Dango Racing";(4)UTU;"03:29:00.33
(9)";"03:43:22.71
(8)";"02:51:21.81
(28)";"02:39:08.85
(3)";111;;;;;"12:42:53.70
00:23:05.16
00:01:29.08";14:13:50.70;"* * *
01:30:57.00"
5;"PEDRO MAC DOWELL
DANIEL SPOLIDORIO
Polaris RZR Pro R
Qi Racing";(1)UT1;"03:36:59.59
(34)";"03:45:33.09
(12)";"02:42:10.60
(8)";"02:40:21.30
(6)";107;;;;;"12:45:04.58
00:25:16.04
00:02:10.88";14:15:46.58;"00:02:00.00
01:32:42.00"
6;"ADRIANO BENVENUTTI
RAFAEL ESPINDOLA
Can-Am Maverick R
Transben Racing";(1)UOP;"03:28:57.54
(8)";"03:46:16.99
(14)";"02:51:38.88
(30)";"02:43:05.20
(10)";114;;;;;"12:49:58.61
00:30:10.07
00:04:54.03";14:16:04.61;"00:02:27.00
01:28:33.00"
7;"LEONARDO CASTRO
ROGERIO ALMEIDA
Polaris RZR Pro R
C3 Racing/Avant";(1)UT2;"03:32:26.42
(17)";"03:49:41.46
(25)";"02:43:09.69
(11)";"02:45:02.27
(13)";136;;;;;"12:50:19.84
00:30:31.30
00:00:21.23";14:21:21.84;"00:00:24.00
01:31:26.00"
8;"JEAN AZEVEDO
IDALI BOSSE
Can-Am Maverick R
T+A Rally Team";(5)UTU;"03:28:36.34
(7)";"03:44:08.27
(10)";"02:59:33.25
(43)";"02:39:55.27
(5)";108;;;;;"12:52:13.13
00:32:24.59
00:01:53.29";14:10:29.13;"00:10:00.00
01:28:16.00"
9;"JULIO CAPUA
EMERSON CAVASSIN
Can-Am Maverick R
T+A Rally Team";(6)UTU;"03:33:32.88
(20)";"03:47:13.44
(16)";"02:43:56.15
(14)";"02:53:59.27
(34)";149;;;;;"12:58:41.74
00:38:53.20
00:06:28.61";14:27:51.74;"* * *
01:29:10.00"
10;"MARCOS FINATO
GUILHERME HOLANDA
Can-Am Maverick R
Bianchini Rally";(2)UOP;"03:33:48.49
(21)";"03:52:35.19
(32)";"02:45:22.07
(16)";"02:47:49.48
(22)";167;;;;;"12:59:35.23
00:39:46.69
00:00:53.49";14:27:48.23;"* * *
01:28:13.00"
11;"JOAO FRANCIOSI
MARCOS PASTAIN
Can-Am Maverick R
Cotton Racing";"03:34:36.47
(25)";"03:48:46.26
(23)";"02:53:32.29
(33)";"02:43:18.01
(11)";"* * *
01:28:34.00";115;(7)UTU;14:28:47.03;;;;"13:00:13.03
00:40:24.49
00:00:37.80";
12;"VINICIUS CASTRO
LOURIVAL ROLDAN
Polaris RZR Pro R
C3 Racing/Avant";"03:29:14.51
(10)";"03:49:25.04
(24)";"02:41:58.90
(7)";"02:59:40.36
(44)";"00:02:42.00
01:30:16.00";168;(2)UT1;14:27:52.81;;;;"13:00:18.81
00:40:30.27
00:00:05.78";
