# INFO_GERAL: VII RALLY MINAS BRASIL 17/05/2025 - 16:46:58 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 3: Araxa/MG - (525.85km) Geral UTV

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;NO;COLUNA_4;COLUNA_7;COLUNA_10;COLUNA_12;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"RODRIGO VARELA
MATEUS MAZZEI
Can-Am Maverick R
Varela Can-Am Monster Energy Rally Team";(1)UTU;"02:15:52.78
(1)";"01:54:46.49
(1)";"02:08:24.38
(2)";102;;;;;06:19:03.65;06:31:33.65;"* * *
00:12:30.00"
2;"BRUNO VARELA
ARI FIUZA
Can-Am Maverick R
Varela Can-Am Monster Energy Rally Team";(2)UTU;"02:18:18.71
(2)";"01:54:47.39
(2)";"02:08:16.77
(1)";103;;;;;"06:21:22.87
00:02:19.22";06:21:22.87;"* * *
* * *"
3;"JEAN AZEVEDO
IDALI BOSSE
Can-Am Maverick R
T+A Rally Team";(3)UTU;"02:24:05.76
(8)";"01:55:34.00
(3)";"02:10:36.77
(3)";108;;;;;"06:30:16.53
00:11:12.88
00:08:53.66";06:30:16.53;"* * *
* * *"
4;"ANDRE HORT
MARCELO RITTER
Can-Am Maverick R
Hps Racing";(4)UTU;"02:21:36.63
(3)";"02:01:19.89
(8)";"02:11:43.72
(5)";119;;;;;"06:34:40.24
00:15:36.59
00:04:23.71";06:34:40.24;"* * *
* * *"
5;"GABRIEL VARELA
MICHAEL MASON
Can-Am Maverick R
Varela Can-Am Monster Energy Rally Team";(1)UT1;"02:26:51.75
(11)";"01:57:59.61
(4)";"02:12:12.41
(6)";153;;;;;"06:37:03.77
00:18:00.12
00:02:23.53";06:37:03.77;"* * *
* * *"
6;"TOMAS LUZA
FLAVIO FRANCA
Can-Am Maverick X3
Cotton Racing";(5)UTU;"02:22:58.08
(6)";"02:04:29.02
(13)";"02:12:26.00
(7)";104;;;;;"06:39:53.10
00:20:49.45
00:02:49.33";06:39:43.10;"00:00:10.00
* * *"
7;"VINICIUS CASTRO
LOURIVAL ROLDAN
Polaris RZR Pro R
C3 Racing / Territ?rio Motorsports";(2)UT1;"02:26:12.93
(10)";"01:59:07.22
(6)";"02:14:35.20
(9)";168;;;;;"06:39:55.35
00:20:51.70
00:00:02.25";06:39:49.35;"00:00:06.00
* * *"
8;"JORGE WAGENFUHR
GUSTAVO BORTOLANZA
Can-Am Maverick R
Lifesil / Mrp Performance";(1)UOP;"02:24:40.31
(9)";"02:00:22.57
(7)";"02:23:01.38
(28)";110;;;;;"06:48:04.26
00:29:00.61
00:08:08.91";06:48:04.26;"* * *
* * *"
9;"MARCOS MORAES
FABIO PEDROSO
Can-Am Maverick R
Mem Motorsport";(2)UOP;"02:29:42.89
(20)";"02:05:33.45
(15)";"02:19:13.24
(18)";142;;;;;"06:54:29.58
00:35:25.93
00:06:25.32";06:54:29.58;"* * *
* * *"
10;"FILIPE ROCHA
JOAO VICTOR
Can-Am Maverick R
Cotton Racing";(6)UTU;"02:27:41.74
(15)";"02:07:09.81
(20)";"02:20:09.15
(24)";181;;;;;"06:55:00.70
00:35:57.05
00:00:31.12";06:55:00.70;"* * *
* * *"
11;"REINALDO VARELA
FABIO MACHADO
Can-Am Maverick R
Varela Can-Am Monster Energy Rally Team";(3)UOP;"02:30:10.80
(22)";"02:03:38.22
(12)";"02:23:20.61
(29)";123;;;;;"06:57:09.63
00:38:05.98
00:02:08.93";06:57:09.63;"* * *
* * *"
12;"MICHEL FALQUEIRO
IGOR QUIRRENBACH
Can-Am Maverick R
Varela Can-Am Monster Energy Rally Team";(3)UT1;"02:27:10.13
(13)";"02:15:44.46
(33)";"02:14:38.95
(10)";146;;;;;"06:57:33.54
00:38:29.89
00:00:23.91";06:57:33.54;"* * *
* * *"
