# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro de Rally Raid 2025
# RELATORIO: Geral - Motos
# DATA_EMISSAO: ACUMULADO ATÉ Dia 4: Dianopolis/TO - (862km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;NUM;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_8;COLUNA_11;COLUNA_13;TOTAL DIF.LIDER DIF.ANTERIOR;LARGADA;CHEGADA;PARC1 KM 25.41;PARC2 KM 53.69;PARC3 KM 80.00;PARC4 KM 114.52;PARC5 KM 133.59;PARC6 KM 167.02;PARC7 KM 186.98;COLUNA_14;COLUNA_17;TOTAL DIF. LIDER DIF ANTERIOR;VEL. MÉDIA;PARC1 KM 25,41;PARC2 KM 53,69;PARC3 KM 80,00;COLUNA_10;PARC4 KM 114,52;PARC5 KM 133,59;PARC6 KM 167,02;PARC7 KM 186,98;COLUNA_15;TOTAL DIF. LÍDER DIF ANTERIOR;COLUNA_5;COLUNA_18;COLUNA_16;TEMPO;PENAL
1;;"ROMAIN DUMONTIER (FRA)
HONDA CRF 450RX
Honda Racing";(1)MT1;"03:56:12.03
(3)";"02:27:54.80
(1)";"01:10:42.77
(2)";"03:00:32.65
(1)";23;;;;;10:35:22.25;;;;;;;;;;;;;;;;;;;;;;;;;;;11:38:10.25;"* * *
01:02:48.00"
2;;"GABRIEL SOARES (MG)
YAMAHA WR 450F
Yamaha Ims Rally Team";(2)MT1;"03:59:43.79
(5)";"02:28:23.26
(2)";"01:09:57.05
(1)";"03:02:55.77
(4)";4;;;;;"10:40:59.87
00:05:37.62";;;;;;;;;;;;;;;;;;;;;;;;;;;11:38:46.87;"00:07:00.00
01:04:47.00"
3;;"GABRIEL BRUNING (SC)
YAMAHA WR 450F
Yamaha Ims Rally Team";(1)MT2;"03:55:56.68
(2)";"02:32:03.71
(5)";"01:14:02.03
(5)";"03:12:16.51
(8)";5;;;;;"10:54:18.93
00:18:56.68
00:13:19.06";;;;;;;;;;;;;;;;;;;;;;;;;;;11:51:44.93;"00:07:00.00
01:04:26.00"
4;;"GUILHERME BISSOTTO (BA)
YAMAHA WR 450F
Dango Racing";(2)MT2;"04:00:39.23
(6)";"02:31:41.48
(4)";"01:15:21.89
(6)";"03:07:57.01
(6)";22;;;;;"10:55:39.61
00:20:17.36
00:01:20.68";;;;;;;;;;;;;;;;;;;;;;;;;;;11:54:26.61;"00:03:00.00
01:01:47.00"
5;;"MARCELO MEDEIROS (MA)
KTM 450 RALLY REPLICA
Meds Racing";(3)MT2;"04:11:04.97
(8)";"02:39:56.65
(6)";"01:22:27.76
(8)";"03:16:24.85
(9)";20;;;;;"11:29:54.23
00:54:31.98
00:34:14.62";;;;;;;;;;;;;;;;;;;;;;;;;;;12:30:54.23;"* * *
01:01:00.00"
6;;"LUCIANO GOMES (SC)
YAMAHA WR 450F
Yamaha Ims Rally Team";(1)MOV;"04:13:29.21
(9)";"02:45:33.46
(7)";"01:26:25.21
(10)";"03:21:25.63
(10)";8;;;;;"11:46:53.51
01:11:31.26
00:16:59.28";;;;;;;;;;;;;;;;;;;;;;;;;;;12:44:03.51;"00:00:06.00
00:57:16.00"
7;;"HENILTON ROQUE (TO)
GAS GAS EC 500
Aparecida Extreme";(4)MT2;"04:19:11.10
(11)";"02:47:37.78
(8)";"01:23:17.36
(9)";"03:23:33.65
(12)";39;;;;;"11:53:39.89
01:18:17.64
00:06:46.38";;;;;;;;;;;;;;;;;;;;;;;;;;;12:46:25.89;"00:07:00.00
00:59:46.00"
8;;"MOISES MARK (TO)
KTM 450 XC-F
Aparecida Extreme";(1)MT3;"04:18:04.72
(10)";"02:48:18.25
(9)";"01:28:02.30
(11)";"03:27:59.22
(13)";54;;;;;"12:02:24.49
01:27:02.24
00:08:44.60";;;;;;;;;;;;;;;;;;;;;;;;;;;12:57:26.49;"00:04:00.00
00:59:02.00"
9;;"ALEXANDRE VALADARES (MG)
HONDA CRF 250F
Honda Racing";(1)MBR;"04:54:01.60
(12)";"03:02:30.71
(11)";"01:38:39.94
(12)";"03:22:40.22
(11)";29;;;;;"12:57:52.47
02:22:30.22
00:55:27.98";;;;;;;;;;;;;;;;;;;;;;;;;;;13:52:27.47;"00:01:45.00
00:56:20.00"
10;;"ADRIEN METGE (FRA)
YAMAHA WR 450F
Yamaha Ims Rally Team";(3)MT1;"03:56:56.59
(4)";"02:31:01.92
(3)";"03:30:00.00
(13)";"03:03:46.90
(5)";1;;;;;"13:01:45.41
02:26:23.16
00:03:52.94";;;;;;;;;;;;;;;;;;;;;;;;;;;13:06:11.41;"01:00:00.00
01:04:26.00"
