# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro Rally Raid 2025
# RELATORIO: Geral - UTV
# DATA_EMISSAO: ACUMULADO ATÉ Dia 4: Dianopolis/TO - (862km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;NUM;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_8;COLUNA_11;COLUNA_13;TOTAL DIF.LIDER DIF.ANTERIOR;COLUNA_7;COLUNA_12;COLUNA_10;COLUNA_5;TEMPO;PENAL
1;;"RODRIGO VARELA (SP)
MATHEUS MAZZEI (MG)
Can-Am Maverick R
Varela Can-Am Monster Energy";(1)UTU;"03:54:40.84
(6)";"02:26:56.83
(2)";"01:11:38.07
(5)";"03:00:00.95
(3)";102;;;;;10:33:16.69;;;;;11:36:00.69;"* * *
01:02:44.00"
2;;"DENISIO DO NASCIMENTO (SC)
GUNNAR DUMS (SC)
Can-Am Maverick R
Bompack Racing";(2)UTU;"03:52:54.72
(3)";"02:27:50.96
(4)";"01:13:00.25
(8)";"02:59:43.41
(2)";101;;;;;"10:33:29.34
00:00:12.65";;;;;11:36:07.34;"* * *
01:02:38.00"
3;;"BRUNO VARELA (SP)
ARI FIUZA (CE)
Can-Am Maverick R
Varela Can-Am Monster Energy";(3)UTU;"03:56:35.11
(8)";"02:26:41.04
(1)";"01:11:53.77
(6)";"02:58:30.79
(1)";103;;;;;"10:33:40.71
00:00:24.02
00:00:11.37";;;;;11:36:21.71;"* * *
01:02:41.00"
4;;"VINICIUS CASTRO (BA)
BRENO REZENDE (MG)
Can-Am Maverick R
C3 Racing";(1)UT1;"03:54:38.95
(5)";"02:28:50.04
(8)";"01:10:48.24
(1)";"03:00:44.62
(4)";175;;;;;"10:35:01.85
00:01:45.16
00:01:21.14";;;;;11:37:43.85;"* * *
01:02:42.00"
5;;"PEDRO MAC DOWELL (SP)
DANIEL SPOLIDORIO (SP)
Can-Am Maverick R
Qi Racing";(4)UTU;"03:54:29.80
(4)";"02:28:45.92
(7)";"01:10:57.22
(2)";"03:01:15.52
(6)";107;;;;;"10:35:28.46
00:02:11.77
00:00:26.61";;;;;11:37:58.46;"00:00:20.00
01:02:50.00"
6;;"GABRIEL VARELA (SP)
MICHAEL MASSON (PR)
Can-Am Maverick R
Varela Can-Am Monster Energy";(2)UT1;"03:56:53.53
(9)";"02:28:22.76
(5)";"01:13:13.48
(10)";"03:02:12.86
(7)";155;;;;;"10:40:42.63
00:07:25.94
00:05:14.17";;;;;11:42:54.63;"00:00:30.00
01:02:42.00"
7;;"VALENTINA FRANCIOSI (BA)
EGON FRANCIOSI (BA)
Can-Am Maverick R
Cotton Racing";(5)UTU;"04:01:02.31
(12)";"02:31:02.26
(11)";"01:14:04.13
(13)";"03:04:00.97
(8)";144;;;;;"10:50:09.67
00:16:52.98
00:09:27.04";;;;;11:50:33.67;"* * *
01:00:24.00"
8;;"JOAO FRANCIOSI (BA)
MARCOS PANSTEIN (SC)
Can-Am Maverick R
Cotton Racing";(6)UTU;"04:01:03.00
(13)";"02:31:48.74
(14)";"01:13:55.70
(12)";"03:06:13.43
(12)";115;;;;;"10:53:00.87
00:19:44.18
00:02:51.20";;;;;11:54:58.87;"00:01:10.00
01:03:08.00"
9;;"FILIPE ROCHA (AL)
JOAO VICTOR RIBEIRO (GO)
Can-Am Maverick R
Cotton Racing";(7)UTU;"03:59:22.12
(11)";"02:37:59.52
(19)";"01:14:57.60
(15)";"03:04:20.40
(9)";181;;;;;"10:56:39.64
00:23:22.95
00:03:38.77";;;;;11:57:05.64;"00:01:40.00
01:02:06.00"
10;;"RICARDO BASSO (BA)
IRADI BIASUZ (BA)
Can-Am Maverick R
Dango Racing";"04:05:11.02
(17)";"02:37:35.18
(18)";"01:13:02.03
(9)";11:56:46.80;"00:07:50.00
01:02:41.00";126;(1)UOP;"03:06:07.57
(11)";"11:01:55.80
00:28:39.11
00:05:16.16";;;;;;;;
