# INFO_GERAL: XXXVIII RALLY DA GRACIOSA 12/07/2025 - 17:20:29 | Campeonato Brasileiro e Paranaense de Rally de Velocidade 2025 Resultados Extra-Oficiais | ACUMULADO ATÉ SS10: SS Sao Joao - Antonina 2 (Power Stage) - (125.17km) Geral - Carros

POS;PILOTO_INFO;CAT;NO;COLUNA_4;COLUNA_5;SS5;SS6;SS7;SS8;COLUNA_11;SS9;SS10;COLUNA_14;COLUNA_16;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"BERNARDO REUWSAAT (RS)
SIDINEI BROERING (SC)
VW Up TSI
Pro Tune Rally";(1)RC5;28;;;"00:05:04.27
(3)";"00:04:56.41
(2)";;"00:05:31.21
(3)";;"00:04:51.26
(2)";"00:04:47.12
(2)";;;00:25:10.27;00:25:10.27;"* * *
* * *"
2;"TIAGO KLIMACZEWSKI (SC)
FELIPE KLIMACZEWSKI (SC)
VW Up TSI
K-Sport Rally";(2)RC5;25;;;"00:05:03.56
(2)";"00:04:59.31
(3)";;"00:05:30.04
(2)";;"00:04:51.17
(1)";"00:04:46.56
(1)";;;"00:25:10.64
00:00:00.37";00:25:10.64;"* * *
* * *"
3;"EDUARDO TONIAL (RS)
MURILO SPIRONELO (RS)
Peugeot 206
ACE / Tonial / GTS";(1)R5L;44;;;"00:05:22.31
(5)";"00:05:11.14
(5)";;"00:05:55.33
(4)";;"00:05:13.49
(4)";"00:05:16.22
(3)";;;"00:26:58.49
00:01:48.22
00:01:47.85";00:26:58.49;"* * *
* * *"
4;"ADIB SADA (PR)
ALBERT DE OLIVEIRA (PR)
Ford Ka
ASTJ";(3)RC5;10;;;"00:05:26.11
(6)";"00:05:18.93
(6)";;"00:05:57.58
(5)";;"00:05:26.95
(5)";"00:05:28.87
(5)";;;"00:27:38.44
00:02:28.17
00:00:39.95";00:27:38.44;"* * *
* * *"
5;"JULIO CARTAXO (PR)
RODRIGO VICARI (PR)
Peugeot 206
Cartacari Racing";(2)R5L;67;;;"00:05:38.51
(7)";"00:05:36.94
(7)";;"00:06:13.33
(6)";;"00:05:28.44
(6)";"00:05:28.36
(4)";;;"00:28:25.58
00:03:15.31
00:00:47.14";00:28:25.58;"* * *
* * *"
6;"LEANDRO BRUSTOLIN (RS)
ANDREY KARPINSKI (RS)
Renault Clio
ACE/Fly Competition";(1)RC4;15;;;"00:04:59.06
(1)";"00:04:53.63
(1)";;"00:05:29.30
(1)";;"00:04:53.97
(3)";"00:11:52.36
(7)";;;"00:32:08.32
00:06:58.05
00:03:42.74";00:32:08.32;"* * *
* * *"
7;"CHARLES LUVIZOTTO (PR)
FLORENCE LUVIZOTTO (PR)
Peugeot 207
Luvizotto Racing";(3)R5L;73;;;"00:06:50.50
(8)";"00:06:46.82
(8)";;"00:07:32.30
(7)";;"00:06:59.55
(7)";"00:06:52.93
(6)";;;"00:35:02.10
00:09:51.83
00:02:53.78";00:35:02.10;"* * *
* * *"
NC;"VITOR HUGO BOFF (RS)
RAFAEL LODEA (RS)
Peugeot 207
ACE Rally RS";(NC)RC5;11;;;"00:05:09.30
(4)";"00:05:10.25
(4)";;;;;;;;;;"* * *
* * *"
NC;"MAURICIO NEVES (PR)
LEANDRO FERRARINI (PR)
VW Gol
ProMacchina Motorsport";(NC)RC4;5;;;;;;;;;;;;;;"* * *
* * *"
NC;"SANDRO MAIA (PR)
GUILHERME PONTAROLO (PR)
Fiat Palio
Maia Racing/The Wokes Band";(NC)RC5;72;;;;;;;;;;;;;;"* * *
* * *"
