# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro de Rally de Velocidade 2025
# RELATORIO: Geral - Carros
# DATA_EMISSAO: ACUMULADO ATÉ SS7: Rio Antinha 3 - (87.61km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;NO;COLUNA_4;SS1;SS2;SS3;COLUNA_9;SS4;SS5;COLUNA_12;SS6;SS7;COLUNA_15;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"LUIS STEDILE (SC)
LUIS FELIPE ECKEL (SC)
Renault Clio
Kinho";(1)RC4;23;;"00:02:10.64
(2)";"00:04:24.92
(1)";"00:13:00.22
(1)";;"00:04:23.42
(1)";"00:12:46.30
(1)";;"00:04:22.04
(1)";"00:12:42.19
(1)";;00:53:49;00:53:49;"* * *
* * *"
2;"LEANDRO BRUSTOLIN (SC)
ANDREY KARPINSKI (RS)
Renault Clio
ACE/Fly Competition";(2)RC4;15;;"00:02:15.53
(3)";"00:04:31.69
(2)";"00:13:33.53
(3)";;"00:04:26.23
(2)";"00:13:17.80
(2)";;"00:04:28.77
(2)";"00:13:15.83
(2)";;"00:55:49
00:01:59";00:55:49;"* * *
* * *"
3;"ELTON PALKEWICH (RS)
JOAO REMOR (RS)
Fiat Palio
Team Palkewich";(1)RC5;316;;"00:02:15.84
(4)";"00:04:37.88
(3)";"00:13:26.08
(2)";;"00:04:37.71
(4)";"00:13:18.03
(3)";;"00:04:33.92
(3)";"00:13:22.49
(3)";;"00:56:11
00:02:22
00:00:22";00:56:11;"* * *
* * *"
4;"TIAGO KLIMACZEWSKI (SC)
FELIPE KLIMACZEWSKI (SC)
VW Up TSI
K-Sport Rally";(2)RC5;25;;"00:02:15.87
(5)";"00:04:44.90
(4)";"00:13:58.01
(4)";;"00:04:37.31
(3)";"00:13:31.35
(4)";;"00:04:36.05
(4)";"00:13:29.00
(4)";;"00:57:12
00:03:22
00:01:00";00:57:12;"* * *
* * *"
5;"BERNARDO REUWSAAT (RS)
SIDINEI BROERING (SC)
VW UP Tsi
Pro Tune Rally";(3)RC5;28;;"00:02:18.12
(6)";"00:04:51.43
(5)";"00:14:13.38
(7)";;"00:04:41.09
(5)";"00:13:59.17
(8)";;"00:04:44.08
(6)";"00:13:59.08
(8)";;"00:58:46
00:04:56
00:01:33";00:58:46;"* * *
* * *"
6;"ALEXANDRE HORN (RS)
GILSON YOSHIMURA (SC)
Mitsubishi Lancer EVO X
Cl?nica Horn/UB Rally";(1)RC2;20;;"00:02:18.90
(7)";"00:04:53.72
(6)";"00:14:09.97
(6)";;"00:04:51.26
(9)";"00:13:54.30
(5)";;"00:04:51.57
(8)";"00:13:48.90
(5)";;"00:58:48
00:04:58
00:00:02";00:58:48;"* * *
* * *"
7;"VITOR HUGO BOFF (RS)
RAFAEL LODEA (RS)
Peugeot 207
ACE Rally RS";(4)RC5;11;;"00:02:20.38
(10)";"00:04:58.54
(8)";"00:14:23.70
(9)";;"00:04:48.29
(7)";"00:13:58.00
(7)";;"00:04:47.13
(7)";"00:13:53.58
(7)";;"00:59:09
00:05:19
00:00:21";00:59:09;"* * *
* * *"
8;"EDUARDO TONIAL (RS)
MURILO SPIRONELO (RS)
Peugeot 206
ACE / Tonial / GTS";(1)RC5L;44;;"00:02:09.50
(1)";"00:04:59.93
(9)";"00:14:53.93
(15)";;"00:04:58.03
(10)";"00:14:08.73
(9)";;"00:04:56.29
(12)";"00:14:25.47
(10)";;"01:00:31
00:06:42
00:01:22";01:00:31;"* * *
* * *"
9;"MARCOS TOKARSKI (PR)
RODRIGO VICARI (PR)
Peugeot 207
MT07";(3)RC4;7;;"00:02:22.07
(14)";"00:05:06.93
(14)";"00:14:49.76
(14)";;"00:04:58.52
(11)";"00:14:11.59
(10)";;"00:04:54.06
(10)";"00:14:40.73
(11)";;"01:01:03
00:07:13
00:00:31";01:01:03;"* * *
* * *"
10;"ALEXANDRE BLUME (RS)
EVANDRO FRIGO (RS)
Peugeot 207 HB
Rally Nova Prata";(2)RC5L;208;;"00:03:09.50
(20)";"00:05:00.63
(11)";"00:14:38.84
(12)";;"00:04:58.77
(13)";"00:14:26.26
(13)";;"00:04:58.50
(14)";"00:14:21.85
(9)";;"01:01:34
00:07:44
00:00:30";01:00:34;"00:01:00
* * *"
11;"LUIS TEDESCO (SC)
WILLIAN SANTOS (PR)
Fiat Palio
TedGarage Club";(4)RC4;8;;"00:02:23.07
(16)";"00:10:05.35
(19)";"00:14:22.93
(8)";"00:04:44.40
(6)";"00:13:54.70
(6)";"00:04:43.66
(5)";"00:13:50.95
(6)";01:04:05;"* * *
* * *";"01:04:05
00:10:15
00:02:30";;;
12;"MURILO BRUSTOLIN (SC)
MATEUS PERIN (RS)
Renault Clio
ACE / Fly Competition";(3)RC5L;42;;"00:02:20.95
(11)";"00:05:14.24
(15)";"00:15:32.43
(16)";"00:05:12.53
(16)";"00:15:31.37
(15)";"00:05:10.06
(16)";"00:16:03.51
(13)";01:05:05;"* * *
* * *";"01:05:05
00:11:15
00:01:00";;;
13;"FELIPE BELENKE (SC)
SOFIA JAYKO (SC)
Peugeot 206
RT One Rally";(4)RC5L;89;;"00:03:00.97
(19)";"00:05:23.92
(16)";"00:15:33.10
(17)";"00:05:07.47
(15)";"00:16:09.91
(17)";"00:05:09.51
(15)";"00:15:29.89
(12)";01:05:54;"* * *
* * *";"01:05:54
00:12:05
00:00:49";;;
14;"ISRAEL REIS (SC)
RAPHAEL FURTADO (SC)
GM Celta
RCF/Fly Competition";(5)RC5L;80;;"00:02:18.96
(8)";"00:05:39.52
(18)";"00:16:33.63
(18)";"00:05:25.23
(17)";"00:15:55.79
(16)";"00:05:32.21
(17)";"00:16:10.17
(14)";01:07:35;"* * *
* * *";"01:07:35
00:13:45
00:01:40";;;
NC;"RODRIGO DE JESUS (SC)
GIULIAN TELMA (SC)
Peugeot 207
Digo//Goi Rally Team";(NC)RC4;35;;"00:02:24.04
(17)";"00:04:54.25
(7)";"00:14:05.63
(5)";"00:04:50.83
(8)";"00:14:17.99
(11)";"00:04:56.06
(11)";;;"* * *
* * *";;;;
NC;"MICHEL LANGA (SC)
MATHEUS LANGA (SC)
Peugeot 207
TM Racing";(NC)RC5L;53;;"00:02:19.04
(9)";"00:05:03.75
(12)";"00:14:38.32
(11)";"00:05:02.69
(14)";"00:14:26.38
(14)";"00:04:54.02
(9)";;;"* * *
* * *";;;;
