# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_Motos-Cuesta25-Of-v1.pdf
# INFO_GERAL: XX RALLY CUESTA 27/04/2025 - 14:30:10 | Campeonato Brasileiro de Rally Baja 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 2: Botucatu/SP - (214,19km) Geral Motos | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PENAL BÔNUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
1;10;JOAO MAURICIO TORRES (GO) Gás Gás EC 500 F Mult Racing;01:21:33.42 (1);01:23:15.62 (2);02:45:56.04;02:44:49.04;(1)MT1;* * * 00:01:07.00;;;;;;;;;;
2;29;NICOLAS RODRIGUEZ (RJ) Honda CRF 450 X Pro Tech Racing;01:23:23.50 (3);01:23:00.58 (1);02:46:44.08;02:46:24.08 00:01:35.04;(1)MT2;* * * 00:00:20.00;;;;;;;;;;
3;22;GUILHERME BISSOTTO (BA) Yamaha WR 450F IMS Blu Cru;01:22:32.62 (2);01:24:50.17 (4);02:47:34.79;02:47:22.79 00:02:33.75 00:00:58.71;(2)MT1;* * * 00:00:12.00;;;;;;;;;;
4;19;BRUNO LELES (MG) Yamaha WR 450F Use Motos Rally Team;01:26:22.34 (6);01:24:21.15 (3);02:50:47.49;02:50:43.49 00:05:54.45 00:03:20.70;(3)MT1;* * * 00:00:04.00;;;;;;;;;;
5;1;FRANCINE ROSSI (MG) Gas Gas EC 500 Mult Racing;01:25:55.62 (5);01:27:07.98 (5);02:53:15.60;02:53:03.60 00:08:14.56 00:02:20.11;(1)MOV;* * * 00:00:12.00;;;;;;;;;;
6;3;LUIZ MENUZZO (SP) Husqvarna FE 501 -;01:25:47.69 (4);01:27:41.35 (6);02:54:34.04;02:53:29.04 00:08:40.00 00:00:25.44;(2)MOV;* * * 00:01:05.00;;;;;;;;;;
7;7;RAFAEL SILVESTRE (MG) Gás EC 450 Mult Racing;01:28:51.29 (7);01:28:51.39 (7);02:57:47.68;02:57:42.68 00:12:53.64 00:04:13.64;(4)MT1;* * * 00:00:05.00;;;;;;;;;;
8;18;AUGUSTO SARTORI (BA) Honda CRF 450 RX Gatto Racing;01:29:44.69 (10);01:30:57.75 (8);03:00:48.44;03:00:42.44 00:15:53.40 00:02:59.76;(2)MT2;* * * 00:00:06.00;;;;;;;;;;
9;11;ANDRES SUAREZ (SP) Husqvarna FE 501 Bianchini Rally;01:29:33.23 (9);01:31:13.33 (9);03:00:30.56;03:00:46.56 00:15:57.52 00:00:04.12;(3)MT2;00:00:21.00 00:00:05.00;;;;;;;;;;
10;23;THEO LOPES (SP) KTM EXC 450 Mult Racing;01:29:20.45 (8);01:31:38.26 (11);03:02:51.71;03:00:58.71 00:16:09.67 00:00:12.15;(3)MOV;* * * 00:01:53.00;;;;;;;;;;
;;;;;;;;;11;32;MAURICIO GHIRALDELLI (SP) Gás EC 450 Mult Racing;(1)MT3;01:31:35.38 (13);01:31:14.17 (10);03:04:04.55;* * * 00:01:15.00;03:02:49.55 00:18:00.51 00:01:50.84;
;;;;;;;;;12;14;LUIZ HENRIQUE CUNHA (SP) Honda CRF 450 RX Spot Racing;(2)MT3;01:30:16.29 (11);01:33:25.72 (12);03:04:46.01;* * * 00:01:04.00;03:03:42.01 00:18:52.97 00:00:52.46;
;;;;;;;;;13;16;MARCIO DI PAOLO (SP) Gás Gás EC 500 Mult Racing;(4)MT2;01:31:16.86 (12);01:34:20.73 (13);03:02:50.59;00:03:00.00 00:00:13.00;03:05:37.59 00:20:48.55 00:01:55.58;
;;;;;;;;;14;28;VINCENZO SFORZA (BA) Kawasaki KX 450 X Itália;(3)MT3;01:31:44.01 (14);01:35:58.94 (14);03:03:47.95;00:04:00.00 00:00:05.00;03:07:42.95 00:22:53.91 00:02:05.36;
;;;;;;;;;15;35;LUGAS DELASTA (SP) KTM EXC 450 Mult Racing;(4)MT3;01:34:11.40 (15);01:39:05.40 (16);03:13:23.80;* * * 00:00:07.00;03:13:16.80 00:28:27.76 00:05:33.85;
;;;;;;;;;16;17;RODRIGO SALLUM (SP) KTM Rally Réplica Lubmix;(5)MT1;01:38:25.10 (16);01:38:37.78 (15);03:17:06.88;* * * 00:00:04.00;03:17:02.88 00:32:13.84 00:03:46.08;
;;;;;;;;;17;12;LUIZ FERNANDO NUTTI (SP) KTM EXC 530 Bianchini Rally - Exército / Boxbbq;(4)MOV;01:38:49.02 (17);01:39:39.18 (17);03:16:35.20;00:02:00.00 00:00:07.00;03:18:28.20 00:33:39.16 00:01:25.32;
;;;;;;;;;18;13;RICARDO NASCIMENTO (SP) Gás Gás EC 450 Mult Racing;(5)MT3;01:40:42.04 (18);01:43:01.85 (20);03:23:58.89;* * * 00:00:15.00;03:23:43.89 00:38:54.85 00:05:15.69;
;;;;;;;;;19;27;IZAC MARTINS (SP) Honda CRF 250 F Dust Rally Team;(1)MBR;01:43:01.67 (20);01:42:03.68 (19);03:22:59.35;00:02:06.00 * * *;03:25:05.35 00:40:16.31 00:01:21.46;
;;;;;;;;;20;26;MILTON MEDINA (SP) Honda CRF 250 Dust Rally Team / Terremotos;(2)MBR;01:43:47.63 (21);01:43:47.07 (21);03:25:35.70;00:02:06.00 00:00:07.00;03:27:34.70 00:42:45.66 00:02:29.35;
;;;;;;;;;21;34;WILLIAM PAULA (SP) KTM EXC-F 350 Mult Racing;(6)MT3;01:41:20.36 (19);01:46:50.60 (22);03:25:49.96;00:02:39.00 00:00:18.00;03:28:10.96 00:43:21.92 00:00:36.26;
;;;;;;;;;22;5;THIAGO OSTORERO (SP) Gás Gás EC 500 Mult Racing;(5)MT2;02:18:33.99 (24);01:41:12.33 (18);03:19:52.32;00:40:00.00 00:00:06.00;03:59:46.32 01:14:57.28 00:31:35.36;
;;;;;;;;;23;8;JOSE LIMONTA (SP) Honda CRF 250 Mult Racing;;(3)MBR;02:05:47.36 (23);02:15:50.56 (24);04:21:43.92;* * * 00:00:06.00;04:21:37.92 01:36:48.88 00:21:51.60
;;;;;;;;;24;25;FERNANDO MORENO (RJ) Yamaha WR 450F Morenos Racing;;(7)MT3;04:30:00.00 (25);01:50:02.77 (23);04:19:08.77;02:00:54.00 * * *;06:20:02.77 03:35:13.73 01:58:24.85
;;;;;;;;;25;33;WILLIAM UZAL (SP) Gas Gas EC 500 Mult Racing;;(5)MOV;02:03:38.15 (22);06:30:00.00 (25);04:16:14.15;04:17:24.00 * * *;08:33:38.15 05:48:49.11 02:13:35.38
