# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_UTV-Cuesta25-Of-v1.pdf
# INFO_GERAL: XX RALLY CUESTA 27/04/2025 - 14:33:00 | Campeonato Brasileiro de Rally Baja 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 2: Botucatu/SP - (214,19km) Geral UTV | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PENAL BÔNUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
1;122;GABRIEL VARELA (SP) Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;01:19:47.81 (1);01:20:29.82 (2);02:40:17.63;02:40:17.63;(1)UTU;* * * * * *;;;;;;;;;;
2;105;MARCUS COTTON (SP) Polaris RZR PRO R Cotton Racing / Polaris Factory Racing Brasil;01:20:02.16 (2);01:21:22.95 (5);02:41:25.11;02:41:25.11 00:01:07.48;(1)UT1;* * * * * *;;;;;;;;;;
3;101;GUILHERME CYSNE (SP) Polaris RZR PRO R GC Rally Team / Polaris Racing Brasil;01:20:33.15 (5);01:21:13.59 (4);02:41:46.74;02:41:46.74 00:01:29.11 00:00:21.63;(2)UTU;* * * * * *;;;;;;;;;;
4;135;ANDRE HORT (SC) Can-Am Maverick X3 MH Racing/ Cotton / F Tech;01:21:33.35 (9);01:20:44.49 (3);02:42:17.84;02:42:17.84 00:02:00.21 00:00:31.10;(3)UTU;* * * * * *;;;;;;;;;;
5;121;ARIEL SCHALLENBERGER (RS) Can-Am Maverick R T+A Rally;01:21:29.68 (8);01:22:04.13 (6);02:43:21.81;02:43:33.81 00:03:16.18 00:01:15.97;(4)UTU;00:00:12.00 * * *;;;;;;;;;;
6;126;GUILHERME CAIO (SP) Can-Am Maverick X3 Agrocin;01:20:39.70 (6);01:24:20.49 (12);02:42:20.19;02:45:00.19 00:04:42.56 00:01:26.38;(2)UT1;00:02:40.00 * * *;;;;;;;;;;
7;117;FABIO TREGANCINI (SP) Polaris RZR PRO R Rally Brasil;01:22:57.02 (11);01:22:20.12 (7);02:45:17.14;02:45:17.14 00:04:59.51 00:00:16.95;(1)UT3;* * * * * *;;;;;;;;;;
8;125;PEDRO BIANOR (MG) Can-Am Maverick R Forfun Racing;01:20:12.46 (3);01:25:20.65 (13);02:43:33.11;02:45:33.11 00:05:15.48 00:00:15.97;(3)UT1;00:02:00.00 * * *;;;;;;;;;;
9;148;PARLEY FIAMONCINI (SC) Can-Am Maverick R 299 Racing;01:23:19.32 (12);01:22:51.40 (9);02:44:25.72;02:46:10.72 00:05:53.09 00:00:37.61;(5)UTU;00:01:45.00 * * *;;;;;;;;;;
10;118;VANDERLEI RABI (SP) Polaris RZR PRO R Algodão Racing;01:24:30.02 (13);01:22:54.38 (10);02:47:24.40;02:47:24.40 00:07:06.77 00:01:13.68;(1)UT2;* * * * * *;;;;;;;;;;
11;112;JUNIOR SIQUEIRA (SP) Polaris RZR PRO R Cotton Racing / Polaris Racing Brasil;01:29:03.81 (19);01:20:21.19 (1);02:49:05.00;02:49:25.00 00:09:07.37 00:02:00.60;(2)UT2;00:00:20.00 * * *;;;;;;;;;;
12;129;VINICIUS JOSE LIMA (MG) MINAE MIYAUTI (SP) Can-Am Maverick X3 Bianchini Rally;01:25:56.51 (15);01:26:52.48 (18);02:52:48.99;02:52:48.99 00:12:31.36 00:03:23.99;(1)UDB;* * * * * *;;;;;;;;;;
;;;;;;;;;13;127;JOAO PAULO MILÃO (SP) CAIO SPOLIDORIO (SP) Can-Am Maverick X3 Cotton Racing;(2)UDB;01:26:34.41 (16);01:27:06.12 (19);02:53:40.53;* * * * * *;02:53:40.53 00:13:22.90 00:00:51.54;
;;;;;;;;;14;140;JOAO AFRO (MA) Polaris RZR PRO R Rally Maranhão / MSL Motorsports;(3)UT2;01:27:15.18 (17);01:27:38.94 (20);02:54:54.12;* * * * * *;02:54:54.12 00:14:36.49 00:01:13.59;
;;;;;;;;;15;143;RICARDO SANTOS (SP) ROBSON SCHUINKA (PR) Can-Am Maverick X3 HPS Racing;(3)UDB;01:28:30.60 (18);01:26:24.65 (16);02:54:55.25;* * * * * *;02:54:55.25 00:14:37.62 00:00:01.13;
;;;;;;;;;16;116;MARCO DE SORDI (SP) CARLOS MARTINATTI (SP) Polaris RZR PRO R GC Rally Team;(1)U55;01:25:23.97 (14);01:37:21.92 (27);03:02:25.89;00:00:20.00 * * *;03:02:45.89 00:22:28.26 00:07:50.64;
;;;;;;;;;17;154;LUIS FELIPE VIEIRA (GO) FAUSTO DALLAPE (SP) Can-Am Maverick X3 Território Motorsport;(4)UDB;01:39:15.48 (23);01:25:46.41 (15);03:05:01.89;* * * * * *;03:05:01.89 00:24:44.26 00:02:16.00;
;;;;;;;;;18;155;HELENA DEYAMA Can-Am Maverick R MUSA / Rally Brasil Racing;(1)UOP;01:33:45.57 (21);01:33:24.12 (25);03:07:09.69;* * * * * *;03:07:09.69 00:26:52.06 00:02:07.80;
;;;;;;;;;19;133;TOMAZ DOS SANTOS (SP) TULIO TANIGUCHI (SP) - HPS Racing;(2)U55;01:37:26.56 (22);01:30:17.96 (22);03:07:44.52;* * * * * *;03:07:44.52 00:27:26.89 00:00:34.83;
;;;;;;;;;20;142;TON CINEL (SP) CLAUDIO RIESER (SP) Can-Am Maverick X3 Agrocin;(5)UDB;01:29:07.89 (20);01:39:42.68 (28);03:08:50.57;* * * * * *;03:08:50.57 00:28:32.94 00:01:06.05;
;;;;;;;;;21;147;ANDRE REIS (PR) Can-Am Maverick X3 GC Rally Team;(2)UT3;01:42:15.89 (24);01:34:51.14 (26);03:17:07.03;* * * * * *;03:17:07.03 00:36:49.40 00:08:16.46;
;;;;;;;;;22;108;RODRIGO MATSUMOTO (MS) Polaris RZR PRO R Polaris Racing / Cotton Racing;(3)UT3;01:22:31.82 (10);02:04:57.25 (30);03:12:29.07;00:15:00.00 * * *;03:27:29.07 00:47:11.44 00:10:22.04;
;;;;;;;;;23;145;DANIEL GONÇALVES (SP) - Caca Léguas;(1)U50;02:03:38.26 (25);01:26:49.93 (17);03:30:28.19;* * * * * *;03:30:28.19 00:50:10.56 00:02:59.12;
;;;;;;;;;24;153;PEDRO SIQUEIRA (AL) - Caca Léguas;(4)UT3;02:11:40.61 (27);01:25:34.73 (14);03:37:15.34;* * * * * *;03:37:15.34 00:56:57.71 00:06:47.15;
;;;;;;;;;25;152;ANDRE SIQUEIRA (AL) ANDERSON DA SILVA LIMA (SP) - Caca Leguas;(1)UST;02:04:46.44 (26);01:33:05.33 (24);03:30:51.77;00:07:00.00 * * *;03:37:51.77 00:57:34.14 00:00:36.43;
;;;;;;;;;26;106;CONRADO MATSUMOTO (MS) Can-Am Maverick R Cotton Racing;(6)UTU;01:20:17.11 (4);03:00:00.00 (31);03:50:17.11;00:30:00.00 * * *;04:20:17.11 01:39:59.48 00:42:25.34;
