# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado-Geral_Motos-Rota_Sudeste25-Of-v1.pdf
# INFO_GERAL: XIX RALLY ROTA SUDESTE 06/07/2025 - 14:08:39 | Campeonato Brasileiro de Rally Baja 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 2: Barra Bonita/SP - (218.02km) Geral - Motos | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PENAL BONUS;COL_1;COL_2;COL_3;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
1;29;NICOLAS RODRIGUEZ (RJ) Honda CRF 450 Pro Tech Racing;01:31:35.78 (1);01:30:41.18 (1);03:02:16.96;03:02:16.96;(1)MT2;* * * * * *;;;;;;;;;
2;22;GUILHERME BISSOTTO (BA) Yamaha WR 450F Gatto Racing;01:43:49.69 (7);01:31:41.05 (2);03:00:30.74;03:15:30.74 00:13:13.78;(1)MT1;00:15:00.00 * * *;;;;;;;;;
3;2;BRUNO ARRUDA (SP) GasGas EC 500 Mult Racing;01:39:30.33 (3);01:39:14.74 (4);03:18:45.07;03:18:45.07 00:16:28.11 00:03:14.33;(2)MT1;* * * * * *;;;;;;;;;
4;1;FRANCINE ROSSI (MG) GasGas 500 Mult Racing;01:44:39.88 (9);01:35:07.36 (3);03:04:47.24;03:19:47.24 00:17:30.28 00:01:02.17;(1)MOV;00:15:00.00 * * *;;;;;;;;;
5;14;LUIZ HENRIQUE CUNHA (SP) Honda CRF 450RX Spot Racing;01:41:17.40 (4);01:40:07.21 (5);03:21:24.61;03:21:24.61 00:19:07.65 00:01:37.37;(1)MT3;* * * * * *;;;;;;;;;
6;32;MAURICIO GHIRALDELLI (SP) GasGas EC 500 Mult Racing;01:41:27.94 (5);01:40:31.94 (6);03:21:59.88;03:21:59.88 00:19:42.92 00:00:35.27;(2)MOV;* * * * * *;;;;;;;;;
7;23;THEO LOPES (SP) KTM EXC 450 Mult Racing;01:39:20.88 (2);01:44:33.02 (9);03:23:53.90;03:23:53.90 00:21:36.94 00:01:54.02;(3)MOV;* * * * * *;;;;;;;;;
8;16;MARCIO DI PAOLO (SP) GasGas EC 500F Mult Racing;01:42:31.44 (6);01:44:23.05 (8);03:26:54.49;03:26:54.49 00:24:37.53 00:03:00.59;(2)MT2;* * * * * *;;;;;;;;;
9;28;PAOLO SFORZA (BA) Kawasaki KX 450 X Italia;01:46:21.57 (10);01:41:18.36 (7);03:24:39.93;03:27:39.93 00:25:22.97 00:00:45.44;(2)MT3;00:03:00.00 * * *;;;;;;;;;
10;6;FELIPE LIMONTA (SP) Honda Tornado 300 Lmt/Honda Motofield;01:44:22.17 (8);01:48:23.98 (12);03:26:46.15;03:32:46.15 00:30:29.19 00:05:06.22;(1)MBR;00:06:00.00 * * *;;;;;;;;;
11;30;LENILTON ARAUJO (SP) GasGas EC 350 Mult Racing;01:48:53.23 (11);01:46:27.10 (10);03:35:20.33;03:35:20.33 00:33:03.37 00:02:34.18;(3)MT3;* * * * * *;;;;;;;;;
12;5;THIAGO OSTORERO (SP) GasGas EC 500 Mult Racing;01:49:31.07 (12);01:48:23.67 (11);03:37:54.74;03:37:54.74 00:35:37.78 00:02:34.41;(3)MT2;* * * * * *;;;;;;;;;
13;26;MILTON MEDINA (SP) Honda CRF 250 Dust/Terremotos;01:50:07.34 (13);01:54:18.18 (14);03:44:25.52;03:44:25.52 00:42:08.56 00:06:30.78;(2)MBR;* * * * * *;;;;;;;;;
;;;;;;;;;14;13;RICARDO NASCIMENTO (SP) GasGas EC 450 Mult Racing;(4)MT3;01:52:48.41 (14);01:55:44.59 (15);03:44:33.00;00:04:00.00 * * *;03:48:33.00 00:46:16.04 00:04:07.48
;;;;;;;;;15;31;KARINNA GROSS (SP) GasGas EC 450 Mult Racing;(5)MT3;02:08:39.83 (15);01:59:57.54 (16);04:08:37.37;* * * * * *;04:08:37.37 01:06:20.41 00:20:04.37
;;;;;;;;;16;34;GUILHERME PUGLIESI (SP) Kawasaki KX 450x Trilha Race;(4)MOV;02:28:55.16 (17);01:54:12.26 (13);03:50:31.42;00:32:36.00 * * *;04:23:07.42 01:20:50.46 00:14:30.05
;;;;;;;;;17;8;JOSE LIMONTA (SP) Honda CRF 250 Lmt/Honda Motofield;(3)MBR;02:18:10.22 (16);02:11:57.65 (17);04:26:58.87;00:03:09.00 * * *;04:30:07.87 01:27:50.91 00:07:00.45
;;;;;;;;;18;35;RODRIGO ESPINHA (SP) Honda CRF 250F Lmt/Honda Motofield;(4)MBR;02:48:28.72 (18);02:20:38.84 (18);04:28:07.56;00:41:00.00 * * *;05:09:07.56 02:06:50.60 00:38:59.69
;;;;;;;;;19;36;RAFAEL KRUKOSKI (SC) Ducati Desert X Msl Rally Team;(1)MBT;03:10:00.00 (19);06:40:00.00 (19);05:20:00.00;04:30:00.00 * * *;09:50:00.00 06:47:43.04 04:40:52.44
