# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado-Geral_UTV-Rota_Sudeste25-Of-v1.pdf
# INFO_GERAL: XIX RALLY ROTA SUDESTE 06/07/2025 - 14:10:55 | Campeonato Brasileiro de Rally Baja 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 2: Barra Bonita/SP - (218,02km) Gerais - UTV | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PENAL BÔNUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
1;101;GUILHERME CYSNE (SP) Polaris RZR PRO R Gc Rally Team / Peak Automotiva;01:29:16.63 (1);01:28:20.44 (1);02:57:37.07;02:57:37.07;(1)UTU;* * * * * *;;;;;;;;;;
2;121;ARIEL SCHALLENBERGER (RS) Can-Am Maverick R T+A Rally Team;01:30:40.33 (2);01:29:29.23 (3);03:00:09.56;03:00:09.56 00:02:32.49;(2)UTU;* * * * * *;;;;;;;;;;
3;111;NUNO FOJO (SP) Polaris RZR PRO R Polaris Factory Racing Brasil / Cotton Racing;01:31:30.06 (5);01:29:04.23 (2);03:00:34.29;03:00:34.29 00:02:57.22 00:00:24.73;(1)UT1;* * * * * *;;;;;;;;;;
4;118;VANDERLEI RABI (SP) Polaris RZR PRO R Algodão Racing;01:31:12.16 (4);01:30:13.29 (6);03:01:19.45;03:01:25.45 00:03:48.38 00:00:51.16;(1)UT2;00:00:06.00 * * *;;;;;;;;;;
5;135;ANDRE HORT (SC) Can-Am Maverick R Hps Racing;01:31:02.13 (3);01:30:43.74 (8);03:13:37.87;03:01:45.87 00:04:08.80 00:00:20.42;(3)UTU;00:00:10.00 00:12:02.00;;;;;;;;;;
6;117;FABIO TREGANCINI (SP) Polaris RZR PRO R Algodão Racing;01:32:05.57 (6);01:30:06.10 (5);03:02:11.67;03:02:11.67 00:04:34.60 00:00:25.80;(1)UT3;* * * * * *;;;;;;;;;;
7;132;JOÃO FRANCIOSI (BA) Can-Am Maverick X3 Cotton Racing;01:33:17.61 (7);01:29:56.81 (4);03:03:04.42;03:03:14.42 00:05:37.35 00:01:02.75;(4)UTU;00:00:10.00 * * *;;;;;;;;;;
8;131;MARCOS MIOTTO (SP) Can-Am Maverick R Dust Rally Team;01:36:56.22 (12);01:31:15.49 (10);03:03:11.71;03:08:11.71 00:10:34.64 00:04:57.29;(5)UTU;00:05:00.00 * * *;;;;;;;;;;
9;148;PARLEY FIAMONCINI (ES) Can-Am Maverick R 299 Racing;01:33:57.07 (8);01:37:15.00 (19);03:07:06.07;03:11:12.07 00:13:35.00 00:03:00.36;(6)UTU;00:04:06.00 * * *;;;;;;;;;;
10;127;JOÃO MILAN (SP) LOURIVAL ROLDAN (SP) Can-Am Maverick X3 Cotton Racing;01:36:01.04 (9);01:35:52.20 (16);03:11:53.24;03:11:53.24 00:14:16.17 00:00:41.17;(1)UDB;* * * * * *;;;;;;;;;;
11;150;DIEGO SANTOS (PR) CLAUDIO RIESER (SP) Polaris RZR PRO R Gc Rally Team;01:37:12.09 (13);01:37:54.32 (20);03:15:06.41;03:15:06.41 00:17:29.34 00:03:13.17;(2)UDB;* * * * * *;;;;;;;;;;
