# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Dia_1-Geral_Motos-Serra_Azul-Of-v1.pdf
# INFO_GERAL: XI RALLY SERRA AZUL 31/08/2025 - 20:04:38 | Resultados Oficiais | Campeonato Brasileiro de Rally Baja 2025 | Geral - Motos | ACUMULADO ATÉ PE2: Pardinho/SP - (160.07km) | Penal TOTAL

POS;NUM;PILOTO_INFO;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PE1;PE2;PENAL BONUS;COL_1;COL_2;COL_3;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
1;29;NICOLAS RODRIGUEZ (RJ) Honda CRF 450RX Pro Tech Racing;02:36:32.90;02:36:32.90;(1)MT2;01:18:28.73 (1);01:18:04.17 (1);* * * * * *;;;;;;;;;
2;22;GUILHERME BISSOTTO (BA) Yamaha YZ 450FX Blu Cru;02:39:13.47;02:39:13.47 00:02:40.57;(1)MT1;01:20:19.71 (2);01:18:53.76 (2);* * * * * *;;;;;;;;;
3;10;JOAO TORRES (GO) Gas Gas EC 500F Multracing;02:44:48.59;02:44:48.59 00:08:15.69 00:05:35.12;(2)MT1;01:23:59.55 (3);01:20:49.04 (3);* * * * * *;;;;;;;;;
4;1;FRANCINE ROSSI (MG) Gas Gas EC 500 Multracing;02:47:32.51;02:47:32.51 00:10:59.61 00:02:43.92;(1)MOV;01:24:26.91 (4);01:23:05.60 (4);* * * * * *;;;;;;;;;
5;28;PAOLO SFORZA (BA) Kawasaki KX 450 X Sforza Racing;02:53:08.95;02:53:08.95 00:16:36.05 00:05:36.44;(1)MT3;01:26:50.28 (6);01:26:18.67 (7);* * * * * *;;;;;;;;;
6;14;LUIZ HENRIQUE CUNHA (SP) Honda CRF 450RX Spot Racing;02:53:51.80;02:53:51.80 00:17:18.90 00:00:42.85;(2)MT3;01:27:02.19 (7);01:26:49.61 (8);* * * * * *;;;;;;;;;
7;16;MARCIO DI PAOLO (SP) GASGAS EC 500F Multracing;02:55:01.53;02:55:01.53 00:18:28.63 00:01:09.73;(2)MT2;01:29:04.93 (8);01:25:56.60 (6);* * * * * *;;;;;;;;;
8;11;ANDRES SUAREZ (SP) Husqvarna FE501 Bianchini Rally Team;02:55:17.39;02:55:17.39 00:18:44.49 00:00:15.86;(3)MT2;01:26:26.92 (5);01:28:50.47 (10);* * * * * *;;;;;;;;;
9;32;MAURICIO GHIRALDELLI (SP) Gas Gas EC 500 Multracing;02:59:35.74;02:59:35.74 00:23:02.84 00:04:18.35;(2)MOV;01:31:03.40 (9);01:28:32.34 (9);* * * * * *;;;;;;;;;
10;13;RICARDO NASCIMENTO (SP) Gas Gas EC 450 Multracing;03:04:38.46;03:04:38.46 00:28:05.56 00:05:02.72;(3)MT3;01:32:34.68 (10);01:32:03.78 (11);* * * * * *;;;;;;;;;
