# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Dia_2-Geral_Motos-Serra_Azul-Of-v1.pdf
# INFO_GERAL: XI RALLY SERRA AZUL 31/08/2025 - 14:32:00 | Resultados Extra-Oficiais | Campeonato Brasileiro de Rally Baja 2025 Geral Motos - Dia 2 | ACUMULADO ATÉ PE4: Pardinho/SP - (316.13km) | Penal TOTAL

POS;NUM;PILOTO_INFO;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PE3;PE4;PENAL BONUS;COL_1;COL_2;COL_3;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
1;29;NICOLAS RODRIGUEZ (RJ) Honda CRF 450RX Pro Tech Racing;02:44:21;02:44:21;(1)MT2;01:17:00.20 (1);01:27:21.24 (1);* * * * * *;;;;;;;;;
2;22;GUILHERME BISSOTTO (BA) Yamaha YZ 450FX Blu Cru;02:46:42;02:46:42 00:02:20;(1)MT1;01:18:11.89 (2);01:28:30.12 (2);* * * * * *;;;;;;;;;
3;10;JOAO TORRES (GO) Gas Gas EC 500F Multracing;02:50:32;02:50:38 00:06:17 00:03:56;(2)MT1;01:20:47.21 (3);01:29:51.46 (3);00:00:06 * * *;;;;;;;;;
4;1;FRANCINE ROSSI (MG) Gas Gas EC 500 Multracing;02:57:45;02:57:45 00:13:23 00:07:06;(1)MOV;01:23:21.36 (4);01:34:23.73 (6);* * * * * *;;;;;;;;;
5;15;LIMONTA FELIPE (SP) Gas Gas EC 450 Multracing;02:57:48;02:57:48 00:13:27 00:00:03;(3)MT1;01:24:41.03 (6);01:33:07.69 (4);* * * * * *;;;;;;;;;
6;2;BRUNO ARRUDA (SP) Gas Gas EC 500 Multracing;02:58:44;02:58:44 00:14:23 00:00:56;(4)MT1;01:24:22.74 (5);01:34:22.24 (5);* * * * * *;;;;;;;;;
7;16;MARCIO DI PAOLO (SP) GASGAS EC 500F Multracing;03:01:20;03:01:20 00:16:58 00:02:35;(2)MT2;01:25:39.28 (8);01:35:40.95 (7);* * * * * *;;;;;;;;;
8;14;LUIZ HENRIQUE CUNHA (SP) Honda CRF 450RX Spot Racing;03:02:13;03:02:13 00:17:51 00:00:53;(1)MT3;01:25:20.00 (7);01:36:53.31 (10);* * * * * *;;;;;;;;;
9;28;PAOLO SFORZA (BA) Kawasaki KX 450 X Sforza Racing;03:02:50;03:02:50 00:18:29 00:00:37;(2)MT3;01:26:37.65 (9);01:36:13.31 (9);* * * * * *;;;;;;;;;
10;32;MAURICIO GHIRALDELLI (SP) Gas Gas EC 500 Multracing;03:03:09;03:03:09 00:18:48 00:00:18;(2)MOV;01:27:10.72 (10);01:35:59.05 (8);* * * * * *;;;;;;;;;
11;11;ANDRES SUAREZ (SP) Husqvarna FE501 Bianchini Rally Team;03:05:22;03:05:22 00:21:01 00:02:12;(3)MT2;01:27:57.60 (11);01:37:25.05 (11);* * * * * *;;;;;;;;;
12;5;THIAGO OSTORERO (SP) Gas Gas EC 500 Multracing;03:12:59;03:12:59 00:28:38 00:07:36;(4)MT2;01:31:40.70 (13);01:41:18.91 (12);* * * * * *;;;;;;;;;
13;36;RICARDO ZENATTO (RS) KTM EXC 350 Multracing;03:13:05;03:13:05 00:28:44 00:00:05;(3)MT3;01:31:21.42 (12);01:41:44.16 (14);* * * * * *;;;;;;;;;
14;27;IZAC ANDRADE (SP) Honda CRF 250F Dust Rally Team;03:13:23;03:13:23 00:29:01 00:00:17;(1)MBR;01:31:52.10 (14);01:41:30.96 (13);* * * * * *;;;;;;;;;
15;26;MILTON MEDINA (SP) Honda CRF 250F Dust Rally Team;03:15:08;03:15:08 00:30:47 00:01:45;(2)MBR;01:32:40.49 (15);01:42:28.11 (15);* * * * * *;;;;;;;;;
;;;;;;;;;16;30;MATHEUS LAZARETI (SP) Honda CRF 250F Dust Rally Team;(3)MBR;01:32:47.49 (16);01:44:20.32 (16);03:17:07;* * * * * *;03:17:07 00:32:46 00:01:59
;;;;;;;;;17;13;RICARDO NASCIMENTO (SP) Gas Gas EC 450 Multracing;(4)MT3;01:32:50.87 (17);01:50:54.88 (17);03:14:45;00:09:00 * * *;03:23:45 00:39:24 00:06:37
;;;;;;;;;18;31;JOAO CUNHA (SP) - Dust Rally Team;(1)MBT;01:59:12.42 (18);01:59:34.71 (18);03:58:47;* * * * * *;03:58:47 01:14:25 00:35:01
;;;;;;;;;19;8;JOSE LIMONTA (SP) Honda CRF 250F Lmt/Honda Motofield;(4)MBR;02:00:00.00 (19);03:00:00.00 (19);04:00:00;01:00:00 * * *;05:00:00 02:15:38 01:01:12
;;;;;;;;;20;6;FELIPE LIMONTA (SP) Honda Tornado 300 Lmt/Honda Motofield;(5)MBR;03:25:00.00 (20);03:25:00.00 (20);04:00:00;02:50:00 * * *;06:50:00 04:05:38 01:50:00
;;;;;;;;;21;35;RODRIGO ESPINHA (SP) Kawasaki KLX 300 Lmt/Honda Motofield;(6)MBR;03:25:00.00 (20);03:25:00.00 (20);04:00:00;02:50:00 * * *;06:50:00 04:05:38 00:00:00
;;;;;;;;;22;37;WESLEY MACEDO (PI) Gas Gas EC 500 Multracing;(5)MT1;03:25:00.00 (20);03:25:00.00 (20);04:00:00;02:50:00 * * *;06:50:00 04:05:38 00:00:00
