# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado-Ate_D2_Geral_Motos-Poeira25-Of-v1.pdf
# INFO_GERAL: Campeonato Brasileiro de Rally Baja 2025 | VII RALLY POEIRA | Acumulado até Dia 2: Igaracu do Tiete/SP (170,38 km) | Resultados Oficiais - 10/11/2025 - 19:55 | Acumulado - Geral Motos

NUM;PILOTO_INFO;TOTAL DIF.LIDER DIF.ANTERIOR;POS GERAL;CATEGORIA (POS);DIA 1 (POS) 64.36 KM;DIA 2 (POS) 106.02 KM;APURADO PENAL BONUS;COL_1;COL_2;COL_3;COL_8;COL_9;COL_10;COL_11;COL_14;COL_12;COL_15;COL_16
Num;Piloto Navegador Veículo Equipe;TEMPO TOTAL Dif.Líder Dif. anterior;Pos Geral;Categoria (pos);Dia 1 (pos) 64.36 km;Dia 2 (pos) 106.02 km;Apurado Penal Bonus;;;;;;;;;;;
22;GUILHERME BISSOTTO (BA) Yamaha WR 450F Blu Cru;;1⁰;MT1 (1°);00:40:38.91 (1°);01:23:24.41 (1°);;;;;;;;;;;;
1;FRANCINE ROSSI (MG) Gas Gas 500F Multi Racing;02:14:02.69 +09:59.37 +08:45.09;3⁰;MOV (1°);00:43:41.42 (3°);01:30:21.27 (4°);02:14:02.69 * * * * * *;;;;;;;;;;;
11;ANDRES SUAREZ (SP) Husqvarna FE501 Bianchini Rally Team;02:22:41.10 +18:37.78 +06:19.25;5⁰;MT2 (2°);00:48:13.85 (6°);01:34:27.25 (5°);02:22:41.10 * * * * * *;;;;;;;;;;;
14;LUIZ HENRIQUE (SP) Honda CRF 450X Spot Racing;02:24:21.39 +20:18.07 +01:16.57;7⁰;MT3 (3°);00:49:46.23 (9°);01:34:35.16 (6°);02:24:21.39 * * * * * *;;;;;;;;;;;
16;MARCIO PAOLO (SP) Gas Gas EC 500F Multi Racing;02:26:00.06 +21:56.74 +01:23.85;9⁰;MT2 (3°);00:49:46.06 (8°);01:36:14.00 (9°);02:26:00.06 * * * * * *;;;;;;;;;;;
;;;;;;;;10⁰ 30 MATHEUS LAZARETI (SP) 02:38:33.56 02:38:33.56 00:54:10.27 01:44:23.29 * * * +34:30.24 MBR (1°) Honda CRF 250 (11°) (11°) * * * +12:33.50 Dust Rally Team;;;;;;;;;;
;;;;;;;;11⁰;13;RICARDO NASCIMENTO (SP) Gas Gas EC 450 Multi Racing;MT3 (4°);00:56:41.93 (12°);01:49:23.44 (12°);02:46:05.37 * * * * * *;02:46:05.37 +42:02.05 +07:31.81;;;
;;;;;;;;12⁰ 26 MILTON MARTINS (SP) 02:43:11.58 02:48:11.58 00:59:05.34 01:44:06.24 00:05:00 +44:08.26 MBR (2°) Honda CRF 250 (13°) (10°) * * * +02:06.21 Dust Rally Team;;;;;;;;;;
;;;;;;;;13⁰;35;RODRIGO ESPINHA (SP) Kawasaki KLX 300 Lmt / Honda Motofield;MBR (3°);01:04:57.77 (14°);02:01:14.37 (13°);03:06:12.14 * * * * * *;03:06:12.14 +01:02:08.82 +18:00.56;;;
;;;;;;;;14⁰ 8 JOSE LIMONTA (SP) 03:13:16.48 03:13:16.48 01:05:37.24 02:07:39.24 * * * +01:09:13.16 MBR (4°) Honda CRF 250 (15°) (14°) * * * +07:04.34 Lmt / Honda Motofield;;;;;;;;;;
;;;;;;;;15⁰;32;PLINIO ALBUQUERQUE (PE) Kawasaki KX 450X Gc Rally Team;MOV (3°);00:53:57.66 (10°);02:30:00.00 (15°);03:23:57.66 03:00:00 * * *;06:23:57.66 +04:19:54.34 +03:10:41.18;;;
;;;;;;;;16⁰ 21 CAIO ZANETTIN (SP) 04:10:00.00 11:10:00.00 01:40:00.00 02:30:00.00 07:00:00 +09:05:56.68 MT3 (5°) Gas Gas EC 350F (16°) (16°) * * * +04:46:02.34 Vovo Tour;;;;;;;;;;
;;;;;;;;17⁰;27;IZAC ANDRADE (SP) Honda CRF 250 Dust Rally Team;MBR (5°);01:40:00.00 (17°);02:30:00.00 (17°);04:10:00.00 07:00:00 * * *;11:10:00.00 +09:05:56.68 +00:00.00;;;
;;;;;;;;18⁰ 34 LUIZ DIAS (SP) 04:10:00.00 11:10:00.00 01:40:00.00 02:30:00.00 07:00:00 +09:05:56.68 MT3 (6°) Husqvarna FE 350 (18°) (18°) * * * +00:00.00 Vovo Tour;;;;;;;;;;
;;;;;;;;Supervisão Produção Apuração;;;;;;;;Supervisão;Produção;Apuração
