# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado-Ate_D2_Geral_UTV-Poeira25-Of-v1.pdf
# INFO_GERAL: Campeonato Brasileiro de Rally Baja 2025 | VII RALLY POEIRA | Acumulado até Dia 2: Igaracu do Tiete/SP (170,38 km) | Resultados Oficiais - 10/11/2025 - 20:18 | Acumulado - Geral UTV

NUM;PILOTO_INFO;TOTAL DIF.LIDER DIF.ANTERIOR;POS GERAL;CATEGORIA (POS);DIA 1 (POS) 64.36 KM;DIA 2 (POS) 106.02 KM;APURADO PENAL BONUS;COL_1;COL_2;COL_3;COL_9;COL_10;COL_11;COL_12;COL_14;COL_7;COL_8;COL_6;COL_13
Num;Piloto Navegador Veículo Equipe;TEMPO TOTAL Dif.Líder Dif. anterior;Pos Geral;Categoria (pos);Dia 1 (pos) 64.36 km;Dia 2 (pos) 106.02 km;Apurado Penal Bonus;;;;;;;;;;;;
123;KAIQUE BENTIVOGLIO (SP) Polaris RZR PRO R Polaris One;02:03:13.68;1⁰;UT1 (1°);00:40:58.96 (4°);01:22:14.72 (1°);;;;;;;;;;;;;
106;CONRADO MATSUMOTO (MS) Can-Am Maverick R Cotton Racing;02:03:49.68 +00:36.00 +00:11.48;3⁰;UTU (2°);00:40:49.05 (3°);01:23:00.63 (5°);02:03:49.68 * * * * * *;;;;;;;;;;;;
117;FABIO TREGANCINI (SP) Polaris RZR PRO R Cotton Racing;02:05:45.14 +02:31.46 +01:42.64;5⁰;UT3 (1°);00:41:50.12 (7°);01:23:55.02 (6°);02:05:45.14 * * * * * *;;;;;;;;;;;;
108;RODRIGO MATSUMOTO (MS) Polaris RZR PRO R Cotton Racing;02:06:56.65 +03:42.97 +00:03.95;7⁰;UT3 (2°);00:42:57.54 (12°);01:23:59.11 (7°);02:06:56.65 * * * * * *;;;;;;;;;;;;
;;;;;;;;8⁰ 101 GUILHERME CYSNE (SP) 02:07:11.20 02:07:11.20 00:42:56.51 01:24:14.69 * * * +03:57.52 UTU (4°) Polaris RZR PRO R (11°) (8°) * * * +00:14.55 Gc Rally Team / Peak Automotiva;;;;;;;;;;;
;;;;;;;;9⁰;118;VANDERLEI RABI (SP) Polaris RZR PRO R Cotton Racing;UT2 (1°);00:42:22.14 (9°);01:27:21.57 (14°);02:09:43.71 * * * 00:00:33;02:09:10.71 +05:57.03 +01:59.51;;;;
;;;;;;;;10⁰ 105 MARCUS COTTON (SP) 02:04:32.94 02:09:32.94 00:42:04.76 01:22:28.18 00:05:00 +06:19.26 UT1 (3°) Polaris RZR PRO R (8°) (4°) * * * +00:22.23 Cotton Racing / Polaris Factory Racing Brasil;;;;;;;;;;;
;;;;;;;;11⁰;119;DANIEL TRECENTI (SP) Can-Am Maverick R Hps Racing;UTU (5°);00:44:18.30 (14°);01:27:46.72 (15°);02:12:05.02 * * * * * *;02:12:05.02 +08:51.34 +02:32.08;;;;
;;;;;;;;12⁰ 142 RICARDO GALLI (SP) 02:13:37.63 02:13:37.63 00:47:35.08 01:26:02.55 * * * +10:23.95 UT1 (4°) Can-Am Maverick R (23°) (13°) * * * +01:32.61 Cotton Racing;;;;;;;;;;;
