# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado-Geral_UTV-TerraVerde25-Of-v1.pdf
# INFO_GERAL: Campeonato Brasileiro de Rally Baja | IV RALLY TERRA VERDE | Acumulado até PE4: Sao Carlos/SP (257,88 km) | Resultados Oficiais - 07/12/2025 - 15:23 | Acumulado - Geral UTV

NUM;PILOTO_INFO;TOTAL DIF.LIDER DIF.ANTERIOR;POS GERAL;CATEGORIA (POS);PE1 (POS) 64.47 KM;PE2 (POS) 64.47 KM;PE3 (POS) 64.47 KM;PE4 (POS) 64.47 KM;APURADO PENAL BONUS;COL_1;COL_2;COL_3;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_15;COL_6;COL_7;COL_14;COL_16
Num;Piloto Navegador Veículo Equipe;TEMPO TOTAL Dif.Líder Dif. anterior;Pos Geral;Categoria (pos);PE1 (pos) 64.47 km;PE2 (pos) 64.47 km;PE3 (pos) 64.47 km;PE4 (pos) 64.47 km;Apurado Penal Bonus;;;;;;;;;;;;;;
128;BRUNO VARELA (SP) Can-Am Maverick R Varela Can-Am M. Energy;;1⁰;UTU (1°);00:57:59.04 (1°);00:57:54.75 (2°);00:57:29.37 (3°);00:57:42.82 (1°);;;;;;;;;;;;;;;
123;KAIQUE BENTIVOGLIO (SP) Polaris RZR Pro R Polaris One;03:53:21.68 +02:15.70 +00:48.24;3⁰;UT1 (1°);00:58:36.49 (4°);00:58:14.47 (4°);00:57:10.82 (1°);00:59:10.90 (6°);03:53:12.68 00:00:09 * * *;;;;;;;;;;;;;;
138;THIAGO TORRES (SP) EDUARDO SHIGA (SP) Can-Am Maverick R T+A Rally Team;03:56:51.47 +05:45.49 +00:36.77;5⁰;UTR (1°);00:59:52.08 (7°);00:59:37.96 (8°);00:58:48.75 (8°);00:58:32.68 (4°);03:56:51.47 * * * * * *;;;;;;;;;;;;;;
126;REINALDO VARELA (SP) TULIO TANIGUCHI (SP) Can-Am Maverick R Varela Can-Am M. Energy;03:59:35.51 +08:29.53 +00:17.55;7⁰;UTR (3°);01:00:43.42 (15°);00:59:56.13 (12°);00:59:33.40 (13°);00:59:22.56 (10°);03:59:35.51 * * * * * *;;;;;;;;;;;;;;
148;PARLEY FIAMONCINI (SC) Can-Am Maverick R 299 Racing;04:02:07.69 +11:01.71 +02:17.89;9⁰;UTU (4°);01:00:39.85 (14°);01:00:29.08 (18°);01:00:06.90 (17°);00:59:51.86 (13°);04:01:07.69 00:01:00 * * *;;;;;;;;;;;;;;
;;;;;;;;;;10⁰ 120 CAIO ABUJAMRA (SP) 03:59:29.66 04:02:29.66 01:00:31.54 00:59:59.33 00:59:22.21 00:59:36.58 00:03:00 +11:23.68 UT3 (1°) Polaris RZR Pro R (11°) (13°) (11°) (11°) * * * +00:21.97 Gc Rally Team;;;;;;;;;;;;;
;;;;;;;;;;11⁰;136;GABRIEL CESTARI (MG) Can-Am Maverick R Cotton Racing / Ghia Motorsports;UTR (4°);01:05:54.61 (30°);01:00:08.23 (15°);00:59:41.70 (15°);00:59:17.83 (8°);04:05:02.37 * * * * * *;04:05:02.37 +13:56.39 +02:32.71;;;;
;;;;;;;;;;12⁰ 129 VINICIUS LIMA (MG) 04:05:47.45 04:05:47.45 MINAE MIYAUTI (SP) 01:02:23.95 01:01:05.85 01:00:51.85 01:01:25.80 * * * +14:41.47 UDB (1°) Can-Am Maverick X3 (21°) (20°) (19°) (16°) * * * +00:45.08 Bianchini Rally;;;;;;;;;;;;;
;;;;;;;;;;13⁰;143;RICARDO SANTOS (SP) ROBSON SCHUINKA (PR) Can-Am Maverick X3 Omni Trade / Hps Racing;UDB (2°) HPS (2°);01:02:32.73 (22°);01:02:07.50 (23°);01:01:03.47 (22°);01:00:45.02 (14°);04:06:28.72 00:00:18 * * *;04:06:46.72 +15:40.74 +00:59.27;;;;
