# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Combinado-Acumulado_Ate_D4-UTV-Jalapao25-Of-v1.pdf
# INFO_GERAL: XI RALLY JALAPAO 20/06/2025 - 09:19:38 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ Dia 4: Sao Felix do Tocantins/TO - Palmas/TO (740.36km) Geral - UTV | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12
1;102;RODRIGO VARELA (SP) MATHEUS MAZZEI (MG) Can-Am Maverick R Varela Can-Am Monster Energy;02:45:09.88 (1);02:11:31.77 (2);02:00:30.96 (1);08:21:03.62;08:20:34.62;(1)UTU;01:23:22.01 (1);* * * 00:00:29.00;;;;;;;;;;;;
2;103;BRUNO VARELA (SP) ARI FIUZA (CE) Can-Am Maverick R Varela Can-Am Monster Energy;02:45:14.28 (2);02:10:53.32 (1);02:03:11.63 (8);08:23:18.59;08:22:56.59 00:02:21.97;(2)UTU;01:23:37.36 (2);* * * 00:00:22.00;;;;;;;;;;;;
3;101;DENISIO NASCIMENTO (SC) GUNNAR DUMS (SC) Can-Am Maverick R Bompack Racing;02:47:13.89 (3);02:11:35.79 (3);02:00:56.12 (3);08:26:07.48;08:26:34.48 00:05:59.86 00:03:37.89;(3)UTU;01:26:48.68 (7);00:00:39.00 00:00:12.00;;;;;;;;;;;;
4;107;PEDRO MAC DOWELL (SP) DANIEL SPOLIDORIO (SP) Can-Am Maverick R Qi Racing;02:49:18.58 (5);02:14:28.41 (5);02:04:09.26 (10);08:32:48.66;08:33:31.66 00:12:57.04 00:06:57.18;(4)UTU;01:25:35.41 (4);00:00:50.00 00:00:07.00;;;;;;;;;;;;
5;116;CONRADO MATSUMOTO (MS) ANDRE MUNHOZ (SC) Can-Am Maverick R Cotton Racing;02:51:23.88 (9);02:17:55.40 (11);02:02:36.04 (6);08:37:04.21;08:38:36.21 00:18:01.59 00:05:04.55;(5)UTU;01:26:40.89 (6);00:01:40.00 00:00:08.00;;;;;;;;;;;;
6;153;GABRIEL VARELA (SP) MICHAEL MASSON (SC) Can-Am Maverick R Varela Can-Am Monster Energy;02:49:05.97 (4);02:13:16.93 (4);02:11:51.21 (21);08:36:21.88;08:39:20.88 00:18:46.26 00:00:44.67;(1)UT1;01:25:06.77 (3);00:03:10.00 00:00:11.00;;;;;;;;;;;;
7;168;VINICIUS CASTRO (BA) LOURIVAL ROLDAN (SP) Can-Am Maverick R C3 Racing - Cotton Racing;02:50:40.13 (6);02:14:47.14 (7);02:08:58.11 (15);08:45:37.93;08:44:51.93 00:24:17.31 00:05:31.05;(2)UT1;01:30:26.55 (12);* * * 00:00:46.00;;;;;;;;;;;;
8;117;BRUNO CONTI (SP) JHONATAN ARDIGO (PR) Can-Am Maverick R Luppi Racing Team;02:57:05.95 (19);02:25:15.39 (22);02:03:44.61 (9);08:49:21.04;08:52:46.04 00:32:11.42 00:07:54.11;(6)UTU;01:26:40.09 (5);00:03:32.00 00:00:07.00;;;;;;;;;;;;
9;138;MILTON JUNIOR (AL) LEONARDO MAGALHAES (MG) Can-Am Maverick R Cotton Racing;02:52:37.24 (14);02:19:20.43 (15);02:12:30.84 (24);08:53:34.67;08:53:33.67 00:32:59.05 00:00:47.63;(3)UT1;01:29:05.16 (9);00:00:12.00 00:00:13.00;;;;;;;;;;;;
10;118;OTAVIO HORT FILHO (SC) IVO MEYER (SC) Can-Am Maverick R Hps Racing;02:52:58.57 (15);02:17:51.49 (10);02:11:16.71 (20);08:55:15.86;08:55:03.86 00:34:29.24 00:01:30.19;(4)UT1;01:32:57.09 (15);* * * 00:00:12.00;;;;;;;;;;;;
11;115;JOAO PEDRO FRANCIOSI (BA) MARCOS PANSTEIN (SC) Can-Am Maverick R Cotton Racing;03:02:16.67 (26);02:22:22.96 (18);02:06:23.72 (11);08:52:06.86;08:59:43.86 00:39:09.24 00:04:40.00;(7)UTU;01:28:40.51 (8);00:07:40.00 00:00:03.00;;;;;;;;;;;;
12;110;JORGE WAGENFUHR (PR) GUSTAVO BORTOLANZA (PA) Can-Am Maverick R Lifesil - Mrp Performance;02:56:25.69 (18);02:21:58.89 (16);02:09:57.04 (16);09:03:40.54;09:04:34.54 00:43:59.92 00:04:50.68;(1)UOP;01:36:12.92 (21);00:01:06.00 00:00:12.00;;;;;;;;;;;;
13;154;MARCELO WEYNE (SP) WILLIAN SANTOS (PR) Can-Am Maverick R Caca Leguas;02:57:45.20 (21);02:25:54.94 (23);02:08:06.25 (13);09:05:19.16;09:05:11.16 00:44:36.54 00:00:36.62;(2)UOP;01:33:24.77 (16);* * * 00:00:08.00;;;;;;;;;;;;
14;134;RODRIGO VILHENA (AM) PAULO MEDINA (AM) Can-Am Maverick R Dango Racing;03:01:45.74 (25);02:22:37.95 (19);02:10:10.83 (18);09:10:03.31;09:09:56.31 00:49:21.69 00:04:45.15;(5)UT1;01:35:21.79 (19);00:01:20.00 00:01:27.00;;;;;;;;;;;;
;;;;;;;;;;;15;144;LEANDRO MOKFA (TO) GABRIEL DALL AGNOL (TO) Can-Am Maverick R Dango Racing;(3)UOP;02:55:21.27 (16);02:49:18.11 (35);02:06:28.06 (12);01:31:00.01 (13);09:22:12.45;* * * 00:00:05.00;09:22:07.45 01:01:32.83 00:12:11.14;
;;;;;;;;;;;16;140;HERON FRANCIOSI (BA) JEFFINHO TEIXEIRA (SC) Polaris RZR Pro R Dango Racing;(1)UT3;02:55:49.36 (17);02:41:59.87 (34);02:12:41.04 (26);01:38:34.49 (25);09:33:01.76;* * * 00:03:57.00;09:29:04.76 01:08:30.14 00:06:57.31;
;;;;;;;;;;;17;143;RODRIGO BIANCHINI (SP) FABIO ZELLER (SP) Can-Am Maverick X3 Erp Motorsports;(1)UT2;03:05:32.48 (30);02:26:06.49 (24);02:11:56.30 (22);01:47:23.16 (27);09:24:24.43;00:06:36.00 00:00:02.00;09:30:58.43 01:10:23.81 00:01:53.67;
;;;;;;;;;;;18;162;RICARDO SANTOS (SP) ROBSON SCHUINKA (PR) Can-Am Maverick R Hps Racing;(6)UT1;03:14:52.44 (33);02:24:50.41 (21);02:10:10.62 (17);01:41:22.32 (26);09:31:16.79;00:00:06.00 00:00:07.00;09:31:15.79 01:10:41.17 00:00:17.36;
;;;;;;;;;;;19;161;CLAUDIO ALENCASTRO (CE) LUCAS ALENCASTRO (CE) Polaris RZR Pro R Lpg Rally Team;(2)UT3;03:16:11.93 (34);02:36:23.58 (31);02:15:59.25 (29);01:34:39.18 (18);09:43:21.94;* * * 00:00:08.00;09:43:13.94 01:22:39.32 00:11:58.15;
;;;;;;;;;;;20;157;FABIO BEAL (SC) OSMAR DE MENDONCA (SC) Can-Am Maverick X3 Four Rally Team;(3)UT3;03:20:43.05 (36);02:33:09.12 (29);02:10:56.53 (19);01:52:35.81 (28);09:43:19.51;00:14:12.00 00:00:07.00;09:57:24.51 01:36:49.89 00:14:10.57;
;;;;;;;;;;;21;159;CRISTIAN SCHERER (TO) TOMAS VIZZOTO (TO) Polaris RZR Pro R Ghs Grandtec Racing;(2)UT2;03:03:39.70 (29);02:32:37.94 (28);03:05:05.05 (36);01:58:16.54 (30);10:33:35.23;00:06:27.00 00:00:23.00;10:39:39.23 02:19:04.61 00:42:14.72;
;;;;;;;;;;;22;147;ZECA SAWAYA (SP) MINAE MIYAUTI (SP) Can-Am Maverick R Cotton Racing;(4)UOP;03:22:58.31 (37);02:55:33.18 (36);02:40:28.65 (33);01:57:45.82 (29);10:53:45.96;00:03:12.00 00:00:12.00;10:56:45.96 02:36:11.34 00:17:06.73;
;;;;;;;;;;;23;160;JAIME OLIVEIRA (CE) PAULO ALCANTARA (CE) Can-Am Maverick R Lpg Rally Team;(5)UOP;03:16:56.82 (35);03:19:38.87 (38);03:22:22.82 (37);01:36:48.77 (22);11:34:14.28;00:01:49.00 00:00:16.00;11:35:47.28 03:15:12.66 00:39:01.32;
;;;;;;;;;;;24;123;REINALDO VARELA (SP) TULIO TANIGUCHI (SP) Can-Am Maverick R Varela Can-Am Monster Energy;(6)UOP;02:52:02.63 (11);02:15:10.46 (8);02:27:32.67 (31);05:30:00.00 (32);10:34:49.76;02:30:03.00 00:00:07.00;13:04:45.76 04:44:11.14 01:28:58.48;
;;;;;;;;;;;25;135;LEANDRO TORRES (SP) BISSINHO ZAVATTI (SP) Can-Am Maverick R Torres Racing;(7)UOP;02:59:40.37 (24);02:23:13.07 (20);02:12:37.02 (25);06:00:00.00 (36);10:37:39.46;03:00:00.00 00:02:09.00;13:35:30.46 05:14:55.84 00:30:44.70;
;;;;;;;;;;;26;112;FABIO PIRONDI (SP) ENIO BOZZANO (SC) Can-Am Maverick R Mrp Performance;(8)UTU;02:51:03.78 (7);02:14:41.46 (6);03:58:10.10 (38);04:34:08.64 (31);10:33:35.98;03:05:56.00 00:01:28.00;13:38:03.98 05:17:29.36 00:02:33.52;
;;;;;;;;;;;27;119;ANDRE HORT (SC) MARCELO RITTER (RS) Can-Am Maverick X3 Hps Racing;(9)UTU;07:40:00.00 (40);02:30:08.14 (27);02:00:50.22 (2);01:32:21.18 (14);10:43:21.54;03:00:00.00 00:00:02.00;13:43:19.54 05:22:44.92 00:05:15.56;
;;;;;;;;;;;28;181;FILIPE ROCHA (AL) JOAO VICTOR RIBEIRO (GO) Can-Am Maverick R Cotton Racing;(10)UTU;02:58:57.39 (22);02:17:47.49 (9);03:00:36.79 (35);05:30:00.00 (32);11:13:34.67;02:33:53.00 00:00:06.00;13:47:21.67 05:26:47.05 00:04:02.13;
;;;;;;;;;;;29;142;MARCOS FINATO (SP) GUILHERME HOLANDA (CE) Can-Am Maverick R Varela Can-Am Monster Energy;(8)UOP;07:40:00.00 (40);02:35:41.14 (30);02:13:02.83 (27);01:34:07.77 (17);11:02:18.74;03:00:40.00 00:00:07.00;14:02:51.74 05:42:17.12 00:15:30.07;
;;;;;;;;;;;30;125;THIAGO TORRES (SP) EDUARDO SHIGA (SP) Can-Am Maverick R T+A Rally Team;(7)UT1;02:57:18.58 (20);02:37:12.62 (32);02:32:01.66 (32);06:00:00.00 (36);11:02:56.86;03:03:46.00 00:00:10.00;14:06:32.86 05:45:58.24 00:03:41.12;
;;;;;;;;;;;31;169;DOUGLAS CARASSA (PR) CLAUDIO RIESER (SP) Can-Am Maverick R Varela Can-Am Monster Energy;;(8)UT1;03:06:48.40 (31);07:25:00.00 (40);02:12:01.57 (23);01:29:57.29 (11);10:25:41.26;03:48:12.00 00:00:06.00;14:13:47.26 05:53:12.64 00:07:14.40
;;;;;;;;;;;32;158;IVAN KUHNEN (SC) HUMBERTO PIAUI (PI) Can-Am Maverick X3 Vigifort Racing;;(9)UOP;03:02:34.17 (27);02:26:19.67 (25);07:30:00.00 (39);01:37:25.76 (24);11:36:09.60;03:00:10.00 * * *;14:36:19.60 06:15:44.98 00:22:32.34
;;;;;;;;;;;33;111;THIAGO FRAGA (PR) ALVARO AMARANTE (GO) Can-Am Maverick X3 Dango Racing;;(11)UTU;02:51:18.19 (8);08:10:00.00 (42);02:01:54.60 (5);01:36:06.29 (20);10:06:50.08;04:32:33.00 00:00:04.00;14:39:19.08 06:18:44.46 00:02:59.48
;;;;;;;;;;;34;139;DONI MENEGAS (TO) CAMILO CARRIAO (TO) Polaris RZR Pro R Ghs Grandtec Racing;;(3)UT2;02:59:12.98 (23);03:42:53.22 (39);02:08:22.24 (14);06:30:00.00 (40);11:48:50.44;03:36:00.00 00:04:22.00;15:20:28.44 06:59:53.82 00:41:09.36
;;;;;;;;;;;35;141;ALFEU DE CASTRO (CE) LINCOLN DIEGO (CE) Polaris RZR Pro R Lpg Rally Team;;(4)UT3;09:10:00.00 (44);02:41:57.86 (33);02:18:16.19 (30);01:36:57.98 (23);11:13:18.03;04:34:00.00 00:00:06.00;15:47:12.03 07:26:37.41 00:26:43.59
;;;;;;;;;;;36;146;MICHEL FALQUEIRO (SP) IGOR DE CARVALHO (PR) Can-Am Maverick R Varela Can-Am Monster Energy;;(9)UT1;06:40:00.00 (39);02:19:11.34 (13);02:14:37.42 (28);06:00:00.00 (36);12:13:53.76;05:00:00.00 00:00:05.00;17:13:48.76 08:53:14.14 01:26:36.73
;;;;;;;;;;;37;104;TOMAS LUZA (BA) FLAVIO FRANCA (RN) Can-Am Maverick R Cotton Racing;;(12)UTU;07:40:00.00 (40);02:26:53.21 (26);02:01:16.62 (4);05:30:00.00 (32);12:05:45.83;05:32:30.00 00:00:06.00;17:38:09.83 09:17:35.21 00:24:21.07
;;;;;;;;;;;38;170;VALENTINA FRANCIOSI (BA) WELLINTON REZENDE (MG) Polaris RZR Pro R Cotton Racing;;(4)UT2;02:52:09.18 (13);07:25:00.00 (40);02:03:05.00 (7);05:30:00.00 (32);11:35:25.18;06:15:00.00 00:00:11.00;17:50:14.18 09:29:39.56 00:12:04.35
;;;;;;;;;;;39;120;RODRIGO LUPPI (SP) MAYKEL JUSTO (SP) Can-Am Maverick R Luppi Racing Team;;(13)UTU;04:13:32.29 (38);02:22:08.06 (17);02:51:00.09 (34);10:20:00.00 (41);12:24:15.44;07:22:30.00 00:00:05.00;19:46:40.44 11:26:05.82 01:56:26.26
