# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Combinado-Acumulado_Ate_D4-Carros-Jalapao25-Of-v1.pdf
# INFO_GERAL: XI RALLY JALAPAO 20/06/2025 - 10:42:00 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ Dia 4: Sao Felix do Tocantins/TO - Palmas/TO (740.36km) Geral - Carros | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;PENAL BONUS
1;302;MARCOS BAUMGART (SP) ALBERTO ANDREOTTI (SP) Toyota Hilux GR DKR Sizmic Racing;02:44:21.36 (1);02:10:27.60 (1);02:02:11.89 (1);08:33:52.47;08:27:54.47;(1)T11;01:30:53.62 (1);00:02:00.00 00:07:58.00
2;304;PEDRO QUEIROLO (SP) LAURO SOBREIRA (CE) Giaffone Buggy V8 R Mattheis Offroad;02:45:18.32 (2);02:11:57.41 (2);02:25:13.45 (3);09:07:39.15;09:07:39.15 00:39:44.68;(1)UBR;01:45:09.97 (2);* * * * * *
3;394;MARIO MARCONDES (PR) ARTEMIO PAULUCI (PR) Ford Ranger Sizmic Braco Curto Motorsports;02:56:20.99 (3);02:43:12.61 (3);02:30:22.58 (4);10:06:51.73;10:17:01.73 01:49:07.26 01:09:22.58;(2)UBR;02:07:05.55 (3);00:10:10.00 * * *
4;326;PEDRO PRADO (SP) JOSI KOERICH (SC) Ford RangerSizmic Sizmic Racing;06:18:00.00 (4);03:14:07.90 (4);02:18:25.59 (2);12:20:34.97;13:58:34.97 05:30:40.50 03:41:33.24;(3)UBR;02:08:01.48 (4);01:38:00.00 * * *
5;365;JOAO GUTEMBERG (PI) MARCUS VINICIUS (PI) Mitsubishi L200 Triton Cadasso Racing;14:00:00.00 (5);04:35:00.00 (5);03:58:38.62 (5);15:13:38.62;26:13:09.62 17:45:15.15 12:14:34.65;(1)STC;03:39:31.00 (5);12:35:00.00 01:35:29.00
1;302;MARCOS BAUMGART (SP) ALBERTO ANDREOTTI (SP) Toyota Hilux GR DKR Sizmic Racing;02:44:21.36 (1);02:10:27.60 (1);02:02:11.89 (1);08:33:52.47;08:27:54.47;;01:30:53.62 (1);00:02:00.00 00:07:58.00
1;304;PEDRO QUEIROLO (SP) LAURO SOBREIRA (CE) Giaffone Buggy V8 R Mattheis Offroad;02:45:18.32 (1);02:11:57.41 (1);02:25:13.45 (2);09:07:39.15;09:07:39.15;;01:45:09.97 (1);* * * * * *
2;394;MARIO MARCONDES (PR) ARTEMIO PAULUCI (PR) Ford Ranger Sizmic Braco Curto Motorsports;02:56:20.99 (2);02:43:12.61 (2);02:30:22.58 (3);10:06:51.73;10:17:01.73 01:09:22.58;;02:07:05.55 (2);00:10:10.00 * * *
3;326;PEDRO PRADO (SP) JOSI KOERICH (SC) Ford RangerSizmic Sizmic Racing;06:18:00.00 (3);03:14:07.90 (3);02:18:25.59 (1);12:20:34.97;13:58:34.97 04:50:55.82 03:41:33.24;;02:08:01.48 (3);01:38:00.00 * * *
1;365;JOAO GUTEMBERG (PI) MARCUS VINICIUS (PI) Mitsubishi L200 Triton Cadasso Racing;14:00:00.00 (1);04:35:00.00 (1);03:58:38.62 (1);15:13:38.62;26:13:09.62;;03:39:31.00 (1);12:35:00.00 01:35:29.00
