# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_ate_D6-Geral_UTV-Sertoes25-ExOf-v2.pdf
# INFO_GERAL: SERTOES PETROBRAS 02/08/2025 - 20:33:02 | Resultados Oficiais | Campeonato Brasileiro Rally Raid 2025 | Geral - UTV | ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1676.9km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;DIA 5;DIA 6;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_14
1;106;ZE HELIO (BRA) RAMON SACILOTTI (BRA) CAN-AM MAVERICK R HPS - HIGH PERFORMANCE SSV;03:57:21.52 (1);03:52:43.38 (4);04:55:59.14 (2);25:16:33.32;25:11:49.32;(1)ULT;05:07:25.82 (4);03:58:15.26 (10);03:20:04.20 (15);00:02:10.00 00:06:54.00;;;;;;;;;;;;;;
2;102;RODRIGO VARELA (BRA) MATHEUS MAZZEI (BRA) CAN-AM MAVERICK R VARELA CANAN MONSTER ENERGY;04:15:01.71 (25);03:52:29.24 (3);04:55:15.04 (1);25:23:43.52;25:16:43.52 00:04:54.20;(2)ULT;05:06:39.01 (1);03:57:24.31 (7);03:09:54.21 (2);* * * 00:07:00.00;;;;;;;;;;;;;;
3;116;FRANCESCO FRANCIOSI (BRA) EGON FRANCIOSI (BRA) CAN-AM MAVERICK COTTON RACING;04:03:40.36 (6);03:53:17.42 (5);05:05:38.04 (16);25:32:39.76;25:25:43.76 00:13:54.44 00:09:00.24;(3)ULT;05:11:24.09 (13);03:56:34.22 (1);03:15:09.63 (8);00:00:10.00 00:07:06.00;;;;;;;;;;;;;;
4;119;ANDRE HORT (BRA) MARCELO RITTER (BRA) CAN-AM MAVERICK R MH RACING;04:04:46.51 (7);04:04:30.43 (25);05:01:14.68 (7);25:36:08.93;25:30:24.93 00:18:35.61 00:04:41.17;(4)ULT;05:09:47.88 (11);03:57:31.16 (8);03:12:34.27 (5);00:01:00.00 00:06:44.00;;;;;;;;;;;;;;
5;101;DENI NASCIMENTO (BRA) GUNNAR DUMS (BRA) CAN-AM MAVERICK R BOMPACK RACING;04:00:30.96 (3);03:51:36.62 (1);05:26:30.37 (46);25:38:48.73;25:31:52.73 00:20:03.41 00:01:27.80;(5)ULT;05:06:39.43 (2);03:56:34.30 (2);03:10:01.05 (3);00:00:03.00 00:06:59.00;;;;;;;;;;;;;;
6;155;GABRIEL VARELA (BRA) MICHAEL MASSON (BRA) CAN-AM MAVERICK R VARELA CANAN MONSTER ENERGY;04:07:36.57 (13);03:59:26.88 (8);04:59:11.72 (4);25:37:19.31;25:34:18.31 00:22:28.99 00:02:25.58;(1)UT1;05:08:01.48 (5);04:05:50.43 (38);03:14:11.23 (7);00:03:42.00 00:06:43.00;;;;;;;;;;;;;;
7;112;FABIO PIRONDI (BRA) ENIO BOZZANO (BRA) CAN-AM MAVERICK R LIFESIL/MRP PERFORMANCE;04:01:41.88 (4);03:53:58.84 (6);05:06:37.54 (19);25:43:12.16;25:35:48.16 00:23:58.84 00:01:29.85;(6)ULT;05:24:19.65 (32);04:00:15.46 (20);03:08:54.79 (1);00:02:00.00 00:09:24.00;;;;;;;;;;;;;;
8;145;MARCOS MORAES (BRA) FABIO PEDROSO (BRA) CAN-AM MAVERICK R MEM MOTORSPORT;04:02:54.91 (5);04:07:17.88 (28);05:04:24.25 (14);25:50:39.76;25:44:27.76 00:32:38.44 00:08:39.60;(1)UOP;05:10:58.65 (12);03:59:54.00 (18);03:18:58.07 (13);00:01:30.00 00:07:42.00;;;;;;;;;;;;;;
9;160;JULIO CAPUA (BRA) HENRY KIRST (BRA) CAN-AM MAVERICK R T+A RALLY TEAM;04:04:52.58 (9);04:03:02.59 (20);05:00:28.48 (6);25:44:30.47;25:44:40.47 00:32:51.15 00:00:12.71;(7)ULT;05:13:57.70 (14);03:59:04.88 (14);03:23:14.24 (19);00:07:00.00 00:06:50.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;10;146;DANIEL MAHSEREDJIAN (BRA) ANDRE MUNHOZ (BRA) CAN-AM MAVERICK R GUGELMIN RACING;(8)ULT;04:05:42.82 (11);04:07:30.29 (30);05:03:32.42 (11);05:17:47.59 (20);03:58:19.53 (11);03:16:50.24 (10);25:49:20.89;00:07:00.00 00:06:38.00;25:49:42.89 00:37:53.57 00:05:02.42;
