# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Combinado-Acumulado_Ate_D4-Cat_Carros-Tocantins25-Of-v1.pdf
# INFO_GERAL: SERTOES SERIES TOCANTINS 27/09/2025 - 14:38:53 | Resultados Oficiais | Campeonato Brasileiro de Rally Raid 2025 | Geral - Carros | ACUMULADO ATÉ DIA 4: Dianopolis/TO - (862km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;PENAL BONUS
1;310;GUIGA SPINELLI (RJ) YOUSSEF HADDAD (SP) Mitsubishi Triton Ultimate Racing Mitsubishi Spinelli Racing;03:52:40.60 (1);02:25:50.60 (1);01:09:40.29 (1);11:34:27.14;10:31:28.14;(1)T1M;03:03:16.65 (1);* * * 01:02:59.00
2;331;FLAVIO LUNARDI (SC) WEIDNER MOREIRA (MG) Sizmic Ford Ranger Bulldog / Sizmic Racing;04:07:30.03 (5);02:32:41.15 (4);01:12:05.06 (3);12:00:48.42;10:58:10.42 00:26:42.28;(1)T11;03:05:54.18 (2);* * * 01:02:38.00
3;372;REINALDO VARELA (SP) TULIO TANIGUCHI (SP) Can-Am Maverick R Varela Can-Am Monster Energy;04:06:11.77 (4);02:34:07.67 (5);01:17:04.93 (4);12:09:40.46;11:06:28.46 00:35:00.32 00:08:18.04;(1)CHL;03:09:04.09 (4);* * * 01:03:12.00
4;321;LELIO JUNIOR (GO) WEBERTH MOREIRA (GO) Century CR7 Fifi Rally Team;04:14:35.39 (6);02:49:37.82 (6);01:17:25.91 (5);12:31:29.71;11:28:10.71 00:56:42.57 00:21:42.25;(2)T1M;03:06:31.59 (3);* * * 01:03:19.00
5;369;OTAVIO ENZ (PR) RODRIGO FAIAD (SP) Mitsubishi Triton Zens Rally;04:30:06.28 (7);03:06:26.19 (7);01:49:14.80 (6);14:13:43.92;13:24:30.92 02:53:02.78 01:56:20.21;(1)UPR;03:58:43.65 (5);00:29:20.00 01:18:33.00
6;314;MAURO GUEDES (DF) WELLINGTON REZENDE (RN) Toyota GR Hilux DKR Rmattheis Motosport;03:54:06.08 (2);02:27:36.56 (2);01:09:53.46 (2);12:34:27.10;13:31:36.10 03:00:07.96 00:07:05.18;(3)T1M;06:00:00.00 (6);02:00:00.00 01:02:51.00
7;304;PEDRO QUEIROLO (SP) LAURO SOBREIRA (CE) Giaffone Buggy V8 Rmattheis Motosport;03:57:24.62 (3);02:30:41.33 (3);03:22:30.00 (7);14:00:45.95;16:50:35.95 06:19:07.81 03:18:59.85;(1)UBR;07:00:00.00 (7);03:52:30.00 01:02:40.00
8;342;FABIO FREIRE (MA) JONATHAS CARVALHO (AP) Mitsubishi Triton Cadasso Racing;06:15:00.00 (8);15:00:00.00 (8);03:45:00.00 (8);16:30:00.00;32:00:00.00 21:28:31.86 15:09:24.05;(1)USP;07:00:00.00 (7);15:30:00.00 * * *
1;310;GUIGA SPINELLI (RJ) YOUSSEF HADDAD (SP) Mitsubishi Triton Ultimate Racing Mitsubishi Spinelli Racing;03:52:40.60 (1);02:25:50.60 (1);01:09:40.29 (1);11:34:27.14;10:31:28.14;;03:03:16.65 (1);* * * 01:02:59.00
2;321;LELIO JUNIOR (GO) WEBERTH MOREIRA (GO) Century CR7 Fifi Rally Team;04:14:35.39 (3);02:49:37.82 (3);01:17:25.91 (3);12:31:29.71;11:28:10.71 00:56:42.57;;03:06:31.59 (2);* * * 01:03:19.00
3;314;MAURO GUEDES (DF) WELLINGTON REZENDE (RN) Toyota GR Hilux DKR Rmattheis Motosport;03:54:06.08 (2);02:27:36.56 (2);01:09:53.46 (2);12:34:27.10;13:31:36.10 03:00:07.96 02:03:25.39;;06:00:00.00 (3);02:00:00.00 01:02:51.00
1;331;FLAVIO LUNARDI (SC) WEIDNER MOREIRA (MG) Sizmic Ford Ranger Bulldog / Sizmic Racing;04:07:30.03 (1);02:32:41.15 (1);01:12:05.06 (1);12:00:48.42;10:58:10.42;;03:05:54.18 (1);* * * 01:02:38.00
1;304;PEDRO QUEIROLO (SP) LAURO SOBREIRA (CE) Giaffone Buggy V8 Rmattheis Motosport;03:57:24.62 (1);02:30:41.33 (1);03:22:30.00 (1);14:00:45.95;16:50:35.95;;07:00:00.00 (1);03:52:30.00 01:02:40.00
1;369;OTAVIO ENZ (PR) RODRIGO FAIAD (SP) Mitsubishi Triton Zens Rally;04:30:06.28 (1);03:06:26.19 (1);01:49:14.80 (1);14:13:43.92;13:24:30.92;;03:58:43.65 (1);00:29:20.00 01:18:33.00
1;342;FABIO FREIRE (MA) JONATHAS CARVALHO (AP) Mitsubishi Triton Cadasso Racing;06:15:00.00 (1);15:00:00.00 (1);03:45:00.00 (1);16:30:00.00;32:00:00.00;;07:00:00.00 (1);15:30:00.00 * * *
1;372;REINALDO VARELA (SP) TULIO TANIGUCHI (SP) Can-Am Maverick R Varela Can-Am Monster Energy;04:06:11.77 (1);02:34:07.67 (1);01:17:04.93 (1);12:09:40.46;11:06:28.46;;03:09:04.09 (1);* * * 01:03:12.00
